"","date","Bitcoin","Bitcoin Cash","Cardano","Doge Coin","Ethereum","Polygon","Solana","Tether","XRP"
"1",2017-01-02,996.121,NA,NA,NA,8.1995,NA,NA,NA,NA
"2",2017-01-03,1017.791,NA,NA,NA,8.3965,NA,NA,NA,NA
"3",2017-01-04,1038.25,NA,NA,NA,9.5669,NA,NA,NA,NA
"4",2017-01-05,1133.219,NA,NA,NA,11.02,NA,NA,NA,NA
"5",2017-01-06,1005.989,NA,NA,NA,10.31859,NA,NA,NA,NA
"6",2017-01-07,895.723,NA,NA,NA,10.1587,NA,NA,NA,NA
"7",2017-01-08,908,NA,NA,NA,9.871,NA,NA,NA,NA
"8",2017-01-09,916.939,NA,NA,NA,10.27581,NA,NA,NA,NA
"9",2017-01-10,905.01,NA,NA,NA,10.4,NA,NA,NA,NA
"10",2017-01-11,909.516,NA,NA,NA,10.51713,NA,NA,NA,NA
"11",2017-01-12,789.884,NA,NA,NA,9.79979,NA,NA,NA,NA
"12",2017-01-13,807.794,NA,NA,NA,9.75,NA,NA,NA,NA
"13",2017-01-14,832.88,NA,NA,NA,9.7978,NA,NA,NA,NA
"14",2017-01-15,818.79,NA,NA,NA,9.60165,NA,NA,NA,NA
"15",2017-01-16,827.139,NA,NA,NA,9.79079,NA,NA,NA,NA
"16",2017-01-17,832.806,NA,NA,NA,9.6081,NA,NA,NA,NA
"17",2017-01-18,906.393,NA,NA,NA,10.23208,NA,NA,NA,NA
"18",2017-01-19,892.312,NA,NA,NA,10.35,NA,NA,NA,NA
"19",2017-01-20,900.501,NA,NA,NA,10.44988,NA,NA,NA,NA
"20",2017-01-21,898.619,NA,NA,NA,10.62001,NA,NA,NA,NA
"21",2017-01-22,925.298,NA,NA,NA,10.92204,NA,NA,NA,NA
"22",2017-01-23,925.01,NA,NA,NA,10.78807,NA,NA,NA,NA
"23",2017-01-24,917.968,NA,NA,NA,10.80851,NA,NA,NA,NA
"24",2017-01-25,887.845,NA,NA,NA,10.5,NA,NA,NA,NA
"25",2017-01-26,896.89,NA,NA,NA,10.50829,NA,NA,NA,NA
"26",2017-01-27,914.926,NA,NA,NA,10.54,NA,NA,NA,NA
"27",2017-01-28,922.299,NA,NA,NA,10.58636,NA,NA,NA,NA
"28",2017-01-29,918.384,NA,NA,NA,10.5254,NA,NA,NA,NA
"29",2017-01-30,915.702,NA,NA,NA,10.43361,NA,NA,NA,NA
"30",2017-01-31,920.58,NA,NA,NA,10.43576,NA,NA,NA,NA
"31",2017-02-01,969.739,NA,NA,NA,10.66911,NA,NA,NA,NA
"32",2017-02-02,988.789,NA,NA,NA,10.6655,NA,NA,NA,NA
"33",2017-02-03,1009.996,NA,NA,NA,10.7705,NA,NA,NA,NA
"34",2017-02-04,1016.297,NA,NA,NA,10.98073,NA,NA,NA,NA
"35",2017-02-05,1032.039,NA,NA,NA,11.34979,NA,NA,NA,NA
"36",2017-02-06,1017.86,NA,NA,NA,11.25399,NA,NA,NA,NA
"37",2017-02-07,1027.01,NA,NA,NA,11.3,NA,NA,NA,NA
"38",2017-02-08,1050.998,NA,NA,NA,11.43001,NA,NA,NA,NA
"39",2017-02-09,1055.838,NA,NA,NA,11.39262,NA,NA,NA,NA
"40",2017-02-10,988.3,NA,NA,NA,10.93949,NA,NA,NA,NA
"41",2017-02-11,1002.726,NA,NA,NA,11.3495,NA,NA,NA,NA
"42",2017-02-12,1011.004,NA,NA,NA,11.41999,NA,NA,NA,NA
"43",2017-02-13,1001.017,NA,NA,NA,11.3649,NA,NA,NA,NA
"44",2017-02-14,996.394,NA,NA,NA,11.31341,NA,NA,NA,NA
"45",2017-02-15,1016.472,NA,NA,NA,13.1847,NA,NA,NA,NA
"46",2017-02-16,1015.75,NA,NA,NA,12.99848,NA,NA,NA,NA
"47",2017-02-17,1038.501,NA,NA,NA,12.9,NA,NA,NA,NA
"48",2017-02-18,1052.065,NA,NA,NA,12.70031,NA,NA,NA,NA
"49",2017-02-19,1058.909,NA,NA,NA,12.8,NA,NA,NA,NA
"50",2017-02-20,1055.61,NA,NA,NA,12.80999,NA,NA,NA,NA
"51",2017-02-21,1085.45,NA,NA,NA,12.47,NA,NA,NA,NA
"52",2017-02-22,1128.458,NA,NA,NA,12.78238,NA,NA,NA,NA
"53",2017-02-23,1125.679,NA,NA,NA,12.69549,NA,NA,NA,NA
"54",2017-02-24,1182,NA,NA,NA,13.09401,NA,NA,NA,NA
"55",2017-02-25,1185,NA,NA,NA,13.03808,NA,NA,NA,NA
"56",2017-02-26,1146.834,NA,NA,NA,13.5717,NA,NA,NA,NA
"57",2017-02-27,1167,NA,NA,NA,14.43998,NA,NA,NA,NA
"58",2017-02-28,1190.212,NA,NA,NA,15.37071,NA,NA,NA,NA
"59",2017-03-01,1180,NA,NA,NA,15.63,NA,NA,NA,NA
"60",2017-03-02,1225,NA,NA,NA,17.3,NA,NA,NA,NA
"61",2017-03-03,1254,NA,NA,NA,18.9871,NA,NA,NA,NA
"62",2017-03-04,1276.999,NA,NA,NA,19.1931,NA,NA,NA,NA
"63",2017-03-05,1261.266,NA,NA,NA,18.58567,NA,NA,NA,NA
"64",2017-03-06,1267.984,NA,NA,NA,19.03258,NA,NA,NA,NA
"65",2017-03-07,1275,NA,NA,NA,19.5,NA,NA,NA,NA
"66",2017-03-08,1224.917,NA,NA,NA,18.82279,NA,NA,NA,NA
"67",2017-03-09,1143.388,NA,NA,NA,16.45,NA,NA,NA,NA
"68",2017-03-10,1187.194,NA,NA,NA,17.59999,NA,NA,NA,NA
"69",2017-03-11,1111,NA,NA,NA,19.25,NA,NA,NA,NA
"70",2017-03-12,1174.969,NA,NA,NA,21.28997,NA,NA,NA,NA
"71",2017-03-13,1224.369,NA,NA,NA,23.30013,NA,NA,NA,NA
"72",2017-03-14,1230,NA,NA,NA,28.19957,NA,NA,NA,NA
"73",2017-03-15,1243.995,NA,NA,NA,28.37048,NA,NA,NA,NA
"74",2017-03-16,1252.92,NA,NA,NA,34.75,NA,NA,NA,NA
"75",2017-03-17,1165.1,NA,NA,NA,44.88999,NA,NA,NA,NA
"76",2017-03-18,1021.16,NA,NA,NA,42.52909,NA,NA,NA,NA
"77",2017-03-19,954.988,NA,NA,NA,33.202,NA,NA,NA,NA
"78",2017-03-20,1017.937,NA,NA,NA,42.36041,NA,NA,NA,NA
"79",2017-03-21,1029.999,NA,NA,NA,41.89001,NA,NA,NA,NA
"80",2017-03-22,1109.99,NA,NA,NA,42.48308,NA,NA,NA,NA
"81",2017-03-23,1032.01,NA,NA,NA,41.24972,NA,NA,NA,NA
"82",2017-03-24,1024.03,NA,NA,NA,42.70261,NA,NA,NA,NA
"83",2017-03-25,921.717,NA,NA,NA,51.99,NA,NA,NA,NA
"84",2017-03-26,951.079,NA,NA,NA,50,NA,NA,NA,NA
"85",2017-03-27,958.791,NA,NA,NA,49.99999,NA,NA,NA,NA
"86",2017-03-28,1039.851,NA,NA,NA,48.71658,NA,NA,NA,NA
"87",2017-03-29,1043.281,NA,NA,NA,50.23677,NA,NA,NA,NA
"88",2017-03-30,1043.43,NA,NA,NA,53.01498,NA,NA,0.9991,NA
"89",2017-03-31,1040,NA,NA,NA,51.89999,NA,NA,0.999,NA
"90",2017-04-01,1079.78,NA,NA,NA,49.6975,NA,NA,1.0009,NA
"91",2017-04-02,1091.726,NA,NA,NA,50.63979,NA,NA,0.9983,NA
"92",2017-04-03,1107.456,NA,NA,NA,48.4995,NA,NA,1.0008,NA
"93",2017-04-04,1148.428,NA,NA,NA,44.1153,NA,NA,0.9991,NA
"94",2017-04-05,1141.998,NA,NA,NA,44.74849,NA,NA,1,NA
"95",2017-04-06,1138.16,NA,NA,NA,45.283,NA,NA,1.001,NA
"96",2017-04-07,1191.56,NA,NA,NA,43.4099,NA,NA,0.9996,NA
"97",2017-04-08,1191.88,NA,NA,NA,42.24,NA,NA,0.9991,NA
"98",2017-04-09,1182.47,NA,NA,NA,44.33113,NA,NA,0.9989,NA
"99",2017-04-10,1211,NA,NA,NA,43.93521,NA,NA,0.998,NA
"100",2017-04-11,1211.23,NA,NA,NA,43.7,NA,NA,0.9958,NA
"101",2017-04-12,1223.499,NA,NA,NA,43.95189,NA,NA,0.9974,NA
"102",2017-04-13,1219.149,NA,NA,NA,46.5019,NA,NA,0.9932,NA
"103",2017-04-14,1174.13,NA,NA,NA,50.0923,NA,NA,0.9939,NA
"104",2017-04-15,1187.991,NA,NA,NA,47.33002,NA,NA,0.9899,NA
"105",2017-04-16,1175.008,NA,NA,NA,49.3289,NA,NA,0.9896,NA
"106",2017-04-17,1180.998,NA,NA,NA,48.55612,NA,NA,0.9516,NA
"107",2017-04-18,1197.5,NA,NA,NA,47.8,NA,NA,0.9392,NA
"108",2017-04-19,1202.378,NA,NA,NA,49.90852,NA,NA,0.945,NA
"109",2017-04-20,1204.2,NA,NA,NA,48.00001,NA,NA,0.946,NA
"110",2017-04-21,1241.877,NA,NA,NA,49.31016,NA,NA,0.945,NA
"111",2017-04-22,1248.999,NA,NA,NA,48.20003,NA,NA,0.9363,NA
"112",2017-04-23,1235.488,NA,NA,NA,48.20001,NA,NA,0.915,NA
"113",2017-04-24,1242.48,NA,NA,NA,48.50386,NA,NA,0.915,NA
"114",2017-04-25,1251.596,NA,NA,NA,49.56142,NA,NA,0.915,NA
"115",2017-04-26,1276.07,NA,NA,NA,49.89999,NA,NA,0.904,NA
"116",2017-04-27,1290.521,NA,NA,NA,53.24,NA,NA,0.9201,NA
"117",2017-04-28,1335.493,NA,NA,NA,62.59071,NA,NA,0.92,NA
"118",2017-04-29,1328.64,NA,NA,NA,71.3,NA,NA,0.94,NA
"119",2017-04-30,1335.926,NA,NA,NA,68.81906,NA,NA,0.9311,NA
"120",2017-05-01,1350.717,NA,NA,NA,78.367,NA,NA,0.935,NA
"121",2017-05-02,1397.234,NA,NA,NA,74.39977,NA,NA,0.9158,NA
"122",2017-05-03,1455.2,NA,NA,NA,76.541,NA,NA,0.9283,NA
"123",2017-05-04,1513.599,NA,NA,NA,80.39984,NA,NA,0.9347,NA
"124",2017-05-05,1535.415,NA,NA,NA,94.39965,NA,NA,0.959,NA
"125",2017-05-06,1518.031,NA,NA,NA,89.8994,NA,NA,0.979,NA
"126",2017-05-07,1535.422,NA,NA,NA,92.80645,NA,NA,0.983,NA
"127",2017-05-08,1500.05,NA,NA,NA,87.4,NA,NA,0.9281,NA
"128",2017-05-09,1670.059,NA,NA,NA,87.07999,NA,NA,0.9711,NA
"129",2017-05-10,1721.749,NA,NA,NA,86.97999,NA,NA,0.97,NA
"130",2017-05-11,1782,NA,NA,NA,88,NA,NA,0.994,NA
"131",2017-05-12,1836.059,NA,NA,NA,88.07932,NA,NA,0.9725,NA
"132",2017-05-13,1698.188,NA,NA,NA,84.8832,NA,NA,0.9811,NA
"133",2017-05-14,1783.57,NA,NA,NA,88.0995,NA,NA,0.9778,NA
"134",2017-05-15,1788.04,NA,NA,NA,88.33819,NA,NA,0.98,NA
"135",2017-05-16,1739.75,NA,NA,NA,90.87,NA,NA,0.9773,NA
"136",2017-05-17,1786.85,NA,NA,NA,88.031,NA,NA,0.9897,NA
"137",2017-05-18,1836.056,NA,NA,NA,87.70025,NA,NA,0.9766,NA
"138",2017-05-19,1900,NA,NA,NA,96.08999,NA,NA,0.9799,0.372797
