"","column_label","Open","High","Low","Close","Volume","ticker","date"
"2016-11-07...1","1",211.45,213.19,211.3,213.15,109794861,"SPY","2016-11-07"
"2016-11-08...2","1",212.69,214.77,212.38,214.11,106772138,"SPY","2016-11-08"
"2016-11-09...3","1",212.37,217.1,212.34,216.3792,258428972,"SPY","2016-11-09"
"2016-11-10...4","1",217.3,218.31,215.22,216.92,172113313,"SPY","2016-11-10"
"2016-11-11...5","1",216.08,216.7,215.32,216.42,100552732,"SPY","2016-11-11"
"2016-11-14...6","1",217.03,217.27,215.72,216.59,94579982,"SPY","2016-11-14"
"2016-11-15...7","1",217.04,218.28,216.8,218.28,91652580,"SPY","2016-11-15"
"2016-11-16...8","1",217.56,218.14,217.42,217.87,65617697,"SPY","2016-11-16"
"2016-11-17...9","1",218.05,219.06,217.92,218.99,69797191,"SPY","2016-11-17"
"2016-11-18...10","1",219.07,219.27,218.29,218.5,86265751,"SPY","2016-11-18"
"2016-11-21...11","1",219.17,220.18,219,220.15,72402638,"SPY","2016-11-21"
"2016-11-22...12","1",220.51,220.79,219.73,220.58,67428957,"SPY","2016-11-22"
"2016-11-23...13","1",219.98,220.76,219.75,220.7,56620237,"SPY","2016-11-23"
"2016-11-25...14","1",221.1,221.56,221.01,221.52,37872255,"SPY","2016-11-25"
"2016-11-28...15","1",221.16,221.48,220.36,220.48,76572511,"SPY","2016-11-28"
"2016-11-29...16","1",220.52,221.44,220.17,220.91,69886690,"SPY","2016-11-29"
"2016-11-30...17","1",221.63,221.82,220.31,220.38,113291793,"SPY","2016-11-30"
"2016-12-01...18","1",220.73,220.73,219.15,219.57,79040487,"SPY","2016-12-01"
"2016-12-02...19","1",219.67,220.25,219.26,219.68,74840347,"SPY","2016-12-02"
"2016-12-05...20","1",220.65,221.4,220.42,221,67837821,"SPY","2016-12-05"
"2016-12-06...21","1",221.22,221.7441,220.662,221.7,59877377,"SPY","2016-12-06"
"2016-12-07...22","1",221.52,224.67,221.38,224.6,110738050,"SPY","2016-12-07"
"2016-12-08...23","1",224.57,225.7,224.26,225.15,99714387,"SPY","2016-12-08"
"2016-12-09...24","1",225.41,226.53,225.37,226.51,88005766,"SPY","2016-12-09"
"2016-12-12...25","1",226.4,226.96,225.76,226.25,102016125,"SPY","2016-12-12"
"2016-12-13...26","1",227.02,228.34,227,227.76,110477485,"SPY","2016-12-13"
