"","Open","High","Low","Close","Volume","ticker","date"
"1",439.08,442.66,438.58,442.5,70236825,"SPY",2021-10-14
"2",444.75,446.26,444.09,445.87,66260210,"SPY",2021-10-15
"3",443.97,447.55,443.27,447.19,62213228,"SPY",2021-10-18
"4",448.92,450.71,448.27,450.64,46996827,"SPY",2021-10-19
"5",451.13,452.732,451.01,452.41,49571569,"SPY",2021-10-20
"6",451.77,453.829,451.31,453.59,41305438,"SPY",2021-10-21
"7",453.13,454.67,451.05,453.12,58845088,"SPY",2021-10-22
"8",454.28,455.9,452.39,455.55,45214507,"SPY",2021-10-25
"9",457.2,458.49,455.56,455.96,56075116,"SPY",2021-10-26
"10",456.45,457.16,453.86,453.94,72437997,"SPY",2021-10-27
"11",455.46,458.4,455.45,458.32,51437944,"SPY",2021-10-28
"12",455.87,459.56,455.56,459.25,70162424,"SPY",2021-10-29
"13",460.3,460.7021,458.2,460.04,48433642,"SPY",2021-11-01
"14",460.22,462.23,460.08,461.9,48908417,"SPY",2021-11-02
"15",461.3,465.15,460.83,464.72,52509825,"SPY",2021-11-03
"16",465.36,467,464.99,466.91,52847087,"SPY",2021-11-04
"17",469.28,470.65,466.92,468.53,66390563,"SPY",2021-11-05
"18",469.7,470.23,468.2031,468.93,50405194,"SPY",2021-11-08
"19",469.32,469.57,465.88,467.38,51149147,"SPY",2021-11-09
"20",465.58,467.38,462.04,463.62,69429653,"SPY",2021-11-10
"21",465.21,465.29,463.75,463.77,34848495,"SPY",2021-11-11
"22",465.12,467.86,464.11,467.27,53466654,"SPY",2021-11-12
"23",84.28,84.8571,84.28,84.73,81968,"QQQE",2021-10-14
"24",85.23,85.23,84.87,84.99,57351,"QQQE",2021-10-15
"25",84.54,85.5,84.48,85.5,29895,"QQQE",2021-10-18
"26",85.8,86.1258,85.5016,86.12,52203,"QQQE",2021-10-19
"27",86.26,86.534,86.1715,86.32,26731,"QQQE",2021-10-20
"28",86.16,86.94,86.16,86.9369,23307,"QQQE",2021-10-21
"29",86.93,87.29,86.41,86.72,22346,"QQQE",2021-10-22
"30",86.98,87.4785,86.68,87.25,22506,"QQQE",2021-10-25
"31",87.59,87.85,86.96,87.04,34401,"QQQE",2021-10-26
"32",86.95,86.95,86.08,86.11,147751,"QQQE",2021-10-27
"33",86.26,86.94,86.26,86.87,26679,"QQQE",2021-10-28
"34",86.6,87.35,86.6,87.3,24659,"QQQE",2021-10-29
"35",87.46,88.08,87.43,88.06,33674,"QQQE",2021-11-01
"36",88.01,88.26,87.82,88.26,23725,"QQQE",2021-11-02
"37",88.07,89,88.055,88.93,155208,"QQQE",2021-11-03
"38",89.35,89.6999,89.14,89.66,23016,"QQQE",2021-11-04
"39",89.74,90,89.27,89.56,30879,"QQQE",2021-11-05
"40",89.76,89.7824,89.345,89.54,23576,"QQQE",2021-11-08
"41",89.79,89.79,89.0841,89.42,33424,"QQQE",2021-11-09
"42",88.97,89.504,88.1727,88.25,37524,"QQQE",2021-11-10
"43",88.84,88.91,88.655,88.72,14528,"QQQE",2021-11-11
"44",89.12,89.66,88.9001,89.55,22966,"QQQE",2021-11-12
"45",24.66,24.85,24.66,24.7,4695,"HFXI",2021-10-14
"46",24.92,25.02,24.905,24.97,14535,"HFXI",2021-10-15
"47",24.79,24.88,24.75,24.8473,6989,"HFXI",2021-10-18
"48",24.98,25.02,24.92,24.965,14125,"HFXI",2021-10-19
"49",25.0281,25.0561,25.01,25.01,1810,"HFXI",2021-10-20
"50",24.895,24.949,24.81,24.8686,32365,"HFXI",2021-10-21
"51",24.99,25.075,24.92,24.965,11199,"HFXI",2021-10-22
"52",24.98,25.05,24.975,25.0162,6778,"HFXI",2021-10-25
"53",25.11,25.18,25.03,25.094,8853,"HFXI",2021-10-26
"54",25.0201,25.12,24.9656,24.9656,10849,"HFXI",2021-10-27
"55",25.13,25.1377,25.0892,25.1377,5226,"HFXI",2021-10-28
"56",25,25.05,24.94,24.9946,9085,"HFXI",2021-10-29
"57",25.24,25.26,25.18,25.2349,20696,"HFXI",2021-11-01
"58",25.28,25.32,25.2167,25.2625,15514,"HFXI",2021-11-02
"59",25.3,25.51,25.21,25.5061,12570,"HFXI",2021-11-03
"60",25.49,25.49,25.413,25.49,6432,"HFXI",2021-11-04
"61",25.54,25.58,25.4,25.4458,11002,"HFXI",2021-11-05
"62",25.67,25.68,25.4401,25.465,4866,"HFXI",2021-11-08
"63",25.48,25.549,25.392,25.45,17899,"HFXI",2021-11-09
"64",25.43,25.43,25.2,25.26,8768,"HFXI",2021-11-10
