"","Open","High","Low","Close","Volume","ticker","date"
"1",431.75,433.37,427.88,432.17,114083256,"SPY",2022-03-04
"2",431.55,432.3018,419.36,419.43,137896560,"SPY",2022-03-07
"3",419.62,427.21,415.12,416.25,164772744,"SPY",2022-03-08
"4",425.14,429.51,422.82,427.41,116990765,"SPY",2022-03-09
"5",422.52,426.43,420.44,425.48,93972655,"SPY",2022-03-10
"6",428.12,428.77,419.53,420.07,95636277,"SPY",2022-03-11
"7",420.89,424.55,415.79,417,95729188,"SPY",2022-03-14
"8",419.77,426.84,418.42,426.17,106219117,"SPY",2022-03-15
"9",429.89,435.68,424.8,435.62,144954805,"SPY",2022-03-16
"10",433.59,441.07,433.19,441.07,102676870,"SPY",2022-03-17
"11",438,444.86,437.22,444.52,106345544,"SPY",2022-03-18
"12",444.34,446.46,440.68,444.39,88349763,"SPY",2022-03-21
"13",445.86,450.58,445.86,449.59,74650394,"SPY",2022-03-22
"14",446.91,448.49,443.71,443.8,79426098,"SPY",2022-03-23
"15",445.94,450.5,444.76,450.49,64736892,"SPY",2022-03-24
"16",451.16,452.98,448.43,452.69,77101324,"SPY",2022-03-25
"17",452.06,455.91,450.06,455.91,68529767,"SPY",2022-03-28
"18",460.02,462.07,457.18,461.55,86581542,"SPY",2022-03-29
"19",460.34,461.195,456.465,458.7,79666942,"SPY",2022-03-30
"20",457.89,458.76,451.16,451.64,121699948,"SPY",2022-03-31
"21",453.31,453.46,449.14,452.92,89048773,"SPY",2022-04-01
"22",453.13,456.91,452.26,456.8,59601000,"SPY",2022-04-04
"23",455.22,457.83,449.82,451.03,74214501,"SPY",2022-04-05
"24",446.89,448.93,443.47,446.52,106897970,"SPY",2022-04-06
"25",445.59,450.69,443.53,448.77,78097214,"SPY",2022-04-07
"26",447.97,450.63,445.94,447.57,79272711,"SPY",2022-04-08
"27",444.11,445,439.39,439.92,89770538,"SPY",2022-04-11
"28",443.08,445.75,436.6501,438.29,84363635,"SPY",2022-04-12
"29",438.03,444.11,437.84,443.31,74070394,"SPY",2022-04-13
"30",443.55,444.7301,437.68,437.79,97869451,"SPY",2022-04-14
"31",436.81,439.75,435.61,437.97,66002498,"SPY",2022-04-18
"32",437.86,445.8,437.68,445.04,77821013,"SPY",2022-04-19
"33",446.92,447.57,443.48,444.71,65224449,"SPY",2022-04-20
"34",448.54,450.01,437.1,438.06,85417327,"SPY",2022-04-21
"35",436.91,438.0825,425.44,426.04,132471772,"SPY",2022-04-22
"36",423.67,428.69,418.84,428.51,119647748,"SPY",2022-04-25
"37",425.83,426.04,416.07,416.1,103996312,"SPY",2022-04-26
"38",417.24,422.92,415.01,417.27,122029990,"SPY",2022-04-27
"39",422.29,429.64,417.6,427.81,105449088,"SPY",2022-04-28
"40",423.59,425.87,411.21,412,145491088,"SPY",2022-04-29
"41",412.07,415.92,405.02,414.48,158312526,"SPY",2022-05-02
"42",415.01,418.93,413.36,416.38,100028190,"SPY",2022-05-03
"43",417.08,429.66,413.7099,429.06,144247895,"SPY",2022-05-04
"44",424.55,425,409.44,413.81,172929106,"SPY",2022-05-05
"45",411.1,414.8,405.73,411.34,151770811,"SPY",2022-05-06
"46",405.1,406.41,396.5,398.17,155586067,"SPY",2022-05-09
"47",404.49,406.08,394.82,399.09,132497200,"SPY",2022-05-10
"48",398.07,404.04,391.96,392.75,142360992,"SPY",2022-05-11
"49",389.37,395.8,385.15,392.34,125090753,"SPY",2022-05-12
"50",396.71,403.18,395.61,401.72,104174421,"SPY",2022-05-13
"51",399.98,403.97,397.6,400.09,78622444,"SPY",2022-05-16
"52",406.53,408.57,402.5824,408.32,83029710,"SPY",2022-05-17
"53",403.5,403.8,390.55,391.86,117674545,"SPY",2022-05-18
"54",388.62,394.14,387.11,389.46,98510715,"SPY",2022-05-19
"55",393.25,397.03,380.54,389.63,131432197,"SPY",2022-05-20
"56",392.83,397.73,390.38,396.92,76414878,"SPY",2022-05-23
"57",392.56,395.15,386.96,393.89,91448831,"SPY",2022-05-24
"58",392.31,399.45,391.89,397.37,91472866,"SPY",2022-05-25
"59",398.67,407.04,398.45,405.31,82168339,"SPY",2022-05-26
"60",407.91,415.3801,407.7,415.26,84768710,"SPY",2022-05-27
"61",413.55,416.46,410.03,412.93,95936980,"SPY",2022-05-31
"62",415.17,416.24,406.93,409.59,86585813,"SPY",2022-06-01
"63",409.42,417.44,407.04,417.39,79609633,"SPY",2022-06-02
"64",412.4,414.04,409.51,410.54,71874281,"SPY",2022-06-03
"65",73.99,74.095,72.8825,73.36,387031,"QQQE",2022-03-04
"66",73.4,73.41,70.78,70.89,71021,"QQQE",2022-03-07
"67",70.62,72.34,69.91,70.52,68284,"QQQE",2022-03-08
"68",72.09,73,71.9367,72.71,51900,"QQQE",2022-03-09
"69",71.59,71.905,70.8863,71.71,31095,"QQQE",2022-03-10
"70",72.5,72.5,70.04,70.12,376283,"QQQE",2022-03-11
"71",70.01,70.46,68.7,68.88,140412,"QQQE",2022-03-14
"72",69.25,70.77,69.095,70.63,154934,"QQQE",2022-03-15
"73",71.76,73.8,71.6,73.74,198696,"QQQE",2022-03-16
"74",73.36,74.6,73.06,74.55,34053,"QQQE",2022-03-17
"75",74.22,76.14,74.12,76.09,463170,"QQQE",2022-03-18
"76",75.57,76.0434,74.52,75.35,121891,"QQQE",2022-03-21
"77",75.59,76.9,75.52,76.74,34146,"QQQE",2022-03-22
"78",76.21,76.67,75.38,75.42,289877,"QQQE",2022-03-23
"79",75.58,76.75,75.17,76.73,43577,"QQQE",2022-03-24
"80",76.89,76.89,75.5,76.45,40794,"QQQE",2022-03-25
"81",76.56,77.52,76.14,77.52,23999,"QQQE",2022-03-28
"82",78.49,79.29,78.18,79.18,36076,"QQQE",2022-03-29
"83",78.71,79.23,77.9902,78.23,365536,"QQQE",2022-03-30
"84",78.26,78.37,77.275,77.35,9487,"QQQE",2022-03-31
"85",77.59,77.83,76.95,77.51,53749,"QQQE",2022-04-01
"86",77.69,78.75,77.66,78.72,16296,"QQQE",2022-04-04
"87",78.58,78.6,76.8101,77,48387,"QQQE",2022-04-05
"88",75.96,76.6043,75.34,75.98,40810,"QQQE",2022-04-06
"89",75.82,76.5615,75.18,76.16,30865,"QQQE",2022-04-07
"90",76.01,76.116,75.23,75.46,244291,"QQQE",2022-04-08
"91",75.09,75.3,74.33,74.37,36563,"QQQE",2022-04-11
"92",75.25,75.63,73.74,73.99,40041,"QQQE",2022-04-12
"93",74.02,75.8,74.01,75.63,22670,"QQQE",2022-04-13
"94",75.57,75.59,74.17,74.2,25715,"QQQE",2022-04-14
"95",73.84,74.29,73.2402,73.8,94726,"QQQE",2022-04-18
"96",73.5,75.61,73.5,75.47,201312,"QQQE",2022-04-19
"97",75.69,75.69,74.58,74.68,30223,"QQQE",2022-04-20
"98",75.2,75.71,72.76,72.92,70740,"QQQE",2022-04-21
"99",72.9,73.01,71.03,71.12,88169,"QQQE",2022-04-22
"100",70.88,72.18,70.71,72.14,75530,"QQQE",2022-04-25
"101",71.74,71.74,69.85,69.9,92425,"QQQE",2022-04-26
"102",69.89,71.07,69.76,69.85,74553,"QQQE",2022-04-27
"103",70.54,72.1,69.67,71.69,472719,"QQQE",2022-04-28
"104",71.48,72.12,69.05,69.15,42122,"QQQE",2022-04-29
"105",69.35,70.14,68.4654,70.04,54923,"QQQE",2022-05-02
"106",70.18,70.41,69.6973,69.95,37044,"QQQE",2022-05-03
"107",70.05,72.105,68.74,72,31194,"QQQE",2022-05-04
"108",71.22,71.22,67.95,68.63,115786,"QQQE",2022-05-05
"109",68.29,68.29,66.43,67.18,245421,"QQQE",2022-05-06
"110",66.09,66.29,64.1,64.4,89085,"QQQE",2022-05-09
"111",65.84,66.2085,64,64.97,66659,"QQQE",2022-05-10
"112",64.65,65.6735,63.38,63.51,2062627,"QQQE",2022-05-11
"113",63.02,64.58,62.587,63.91,384964,"QQQE",2022-05-12
"114",64.95,66.68,64.86,66.48,123228,"QQQE",2022-05-13
"115",66.19,66.4681,65.56,65.68,63688,"QQQE",2022-05-16
"116",66.94,67.265,66,67.24,1008152,"QQQE",2022-05-17
"117",66.42,66.42,63.915,64.16,172869,"QQQE",2022-05-18
"118",63.91,65.49,63.64,64.73,142170,"QQQE",2022-05-19
"119",65.57,65.57,62.875,64.69,314928,"QQQE",2022-05-20
"120",65.01,65.37,64.305,65.34,309288,"QQQE",2022-05-23
"121",64.48,64.48,63.3699,64.07,220234,"QQQE",2022-05-24
"122",64.08,65.5719,64.02,65.21,239398,"QQQE",2022-05-25
"123",65.73,67.36,65.73,67.12,51621,"QQQE",2022-05-26
"124",67.75,69.19,67.75,69.19,423826,"QQQE",2022-05-27
"125",69.14,69.14,67.95,68.5,59447,"QQQE",2022-05-31
"126",68.86,69.06,67.195,67.75,61283,"QQQE",2022-06-01
"127",67.73,69.715,67.61,69.68,169971,"QQQE",2022-06-02
"128",68.89,69.2056,68.16,68.39,187222,"QQQE",2022-06-03
"129",22.29,22.36,22.0269,22.2,46961,"HFXI",2022-03-04
"130",22.08,22.08,21.48,21.59,58348,"HFXI",2022-03-07
"131",21.8,22.1094,21.49,21.7324,37030,"HFXI",2022-03-08
"132",22.23,22.63,22.23,22.5328,14087,"HFXI",2022-03-09
"133",22.3,22.41,22.1801,22.3047,48424,"HFXI",2022-03-10
"134",22.6,22.6,22.11,22.17,144365,"HFXI",2022-03-11
"135",22.4575,22.63,22.375,22.41,67906,"HFXI",2022-03-14
"136",22.45,22.63,22.38,22.56,40710,"HFXI",2022-03-15
"137",23.04,23.2876,22.94,23.2876,14643,"HFXI",2022-03-16
"138",23.17,23.45,23.17,23.4,39282,"HFXI",2022-03-17
"139",23.29,23.6461,23.29,23.6461,7221,"HFXI",2022-03-18
"140",23.63,23.63,23.45,23.5172,8032,"HFXI",2022-03-21
"141",23.68,23.75,23.66,23.71,66046,"HFXI",2022-03-22
"142",23.46,23.5774,23.43,23.43,12487,"HFXI",2022-03-23
"143",23.55,23.6698,23.5187,23.64,31545,"HFXI",2022-03-24
"144",23.67,23.685,23.5599,23.661,37874,"HFXI",2022-03-25
"145",23.64,23.6686,23.53,23.6648,25358,"HFXI",2022-03-28
"146",24.1,24.155,23.95,24.0985,20027,"HFXI",2022-03-29
"147",23.95,24.02,23.8657,23.8882,27662,"HFXI",2022-03-30
"148",23.81,23.85,23.6,23.6012,30766,"HFXI",2022-03-31
"149",23.78,23.85,23.67,23.8121,49541,"HFXI",2022-04-01
"150",23.86,23.9882,23.86,23.94,22973,"HFXI",2022-04-04
"151",23.81,23.87,23.675,23.6762,13106,"HFXI",2022-04-05
"152",23.41,23.4802,23.34,23.43,13471,"HFXI",2022-04-06
"153",23.43,23.52,23.32,23.497,16974,"HFXI",2022-04-07
"154",23.4075,23.5561,23.405,23.47,20969,"HFXI",2022-04-08
"155",23.5,23.5,23.28,23.28,6514,"HFXI",2022-04-11
"156",23.31,23.35,23.1154,23.1266,169169,"HFXI",2022-04-12
