RegionID,SizeRank,RegionName,RegionType,StateName,1/31/2000,2/29/2000,3/31/2000,4/30/2000,5/31/2000,6/30/2000,7/31/2000,8/31/2000,9/30/2000,10/31/2000,11/30/2000,12/31/2000,1/31/2001,2/28/2001,3/31/2001,4/30/2001,5/31/2001,6/30/2001,7/31/2001,8/31/2001,9/30/2001,10/31/2001,11/30/2001,12/31/2001,1/31/2002,2/28/2002,3/31/2002,4/30/2002,5/31/2002,6/30/2002,7/31/2002,8/31/2002,9/30/2002,10/31/2002,11/30/2002,12/31/2002,1/31/2003,2/28/2003,3/31/2003,4/30/2003,5/31/2003,6/30/2003,7/31/2003,8/31/2003,9/30/2003,10/31/2003,11/30/2003,12/31/2003,1/31/2004,2/29/2004,3/31/2004,4/30/2004,5/31/2004,6/30/2004,7/31/2004,8/31/2004,9/30/2004,10/31/2004,11/30/2004,12/31/2004,1/31/2005,2/28/2005,3/31/2005,4/30/2005,5/31/2005,6/30/2005,7/31/2005,8/31/2005,9/30/2005,10/31/2005,11/30/2005,12/31/2005,1/31/2006,2/28/2006,3/31/2006,4/30/2006,5/31/2006,6/30/2006,7/31/2006,8/31/2006,9/30/2006,10/31/2006,11/30/2006,12/31/2006,1/31/2007,2/28/2007,3/31/2007,4/30/2007,5/31/2007,6/30/2007,7/31/2007,8/31/2007,9/30/2007,10/31/2007,11/30/2007,12/31/2007,1/31/2008,2/29/2008,3/31/2008,4/30/2008,5/31/2008,6/30/2008,7/31/2008,8/31/2008,9/30/2008,10/31/2008,11/30/2008,12/31/2008,1/31/2009,2/28/2009,3/31/2009,4/30/2009,5/31/2009,6/30/2009,7/31/2009,8/31/2009,9/30/2009,10/31/2009,11/30/2009,12/31/2009,1/31/2010,2/28/2010,3/31/2010,4/30/2010,5/31/2010,6/30/2010,7/31/2010,8/31/2010,9/30/2010,10/31/2010,11/30/2010,12/31/2010,1/31/2011,2/28/2011,3/31/2011,4/30/2011,5/31/2011,6/30/2011,7/31/2011,8/31/2011,9/30/2011,10/31/2011,11/30/2011,12/31/2011,1/31/2012,2/29/2012,3/31/2012,4/30/2012,5/31/2012,6/30/2012,7/31/2012,8/31/2012,9/30/2012,10/31/2012,11/30/2012,12/31/2012,1/31/2013,2/28/2013,3/31/2013,4/30/2013,5/31/2013,6/30/2013,7/31/2013,8/31/2013,9/30/2013,10/31/2013,11/30/2013,12/31/2013,1/31/2014,2/28/2014,3/31/2014,4/30/2014,5/31/2014,6/30/2014,7/31/2014,8/31/2014,9/30/2014,10/31/2014,11/30/2014,12/31/2014,1/31/2015,2/28/2015,3/31/2015,4/30/2015,5/31/2015,6/30/2015,7/31/2015,8/31/2015,9/30/2015,10/31/2015,11/30/2015,12/31/2015,1/31/2016,2/29/2016,3/31/2016,4/30/2016,5/31/2016,6/30/2016,7/31/2016,8/31/2016,9/30/2016,10/31/2016,11/30/2016,12/31/2016,1/31/2017,2/28/2017,3/31/2017,4/30/2017,5/31/2017,6/30/2017,7/31/2017,8/31/2017,9/30/2017,10/31/2017,11/30/2017,12/31/2017,1/31/2018,2/28/2018,3/31/2018,4/30/2018,5/31/2018,6/30/2018,7/31/2018,8/31/2018,9/30/2018,10/31/2018,11/30/2018,12/31/2018,1/31/2019,2/28/2019,3/31/2019,4/30/2019,5/31/2019,6/30/2019,7/31/2019,8/31/2019,9/30/2019,10/31/2019,11/30/2019,12/31/2019,1/31/2020,2/29/2020,3/31/2020,4/30/2020,5/31/2020,6/30/2020,7/31/2020,8/31/2020,9/30/2020,10/31/2020,11/30/2020,12/31/2020,1/31/2021,2/28/2021,3/31/2021,4/30/2021,5/31/2021,6/30/2021,7/31/2021,8/31/2021,9/30/2021,10/31/2021,11/30/2021,12/31/2021,1/31/2022,2/28/2022,3/31/2022,4/30/2022
102001,0,United States,Country,,128160,128506,128871,129614,130362,131109,131871,132683,133513,134347,135189,136052,136857,137597,138349,139152,139981,140792,141610,142456,143295,144137,144909,145647,146320,147022,147762,148546,149381,150260,151213,152208,153193,154182,155114,156044,156892,157757,158644,159603,160629,161651,162718,163846,165038,166229,167304,168332,169355,170529,171841,173276,174861,176550,178347,180114,181837,183475,185007,186564,188093,189699,191366,193279,195272,197349,199402,201468,203465,205322,206981,208468,209725,210941,212211,213587,214899,216001,216807,217416,217755,218000,218077,218121,218104,218122,218131,218148,217989,217636,217022,216374,215584,214762,213727,212682,211434,210083,208571,206991,205398,203715,201911,199852,197840,195905,193995,192091,190235,188781,187417,186148,184837,183638,182563,181526,180567,179821,179478,179335,179264,179156,179165,179333,179404,179192,178473,177520,176392,175295,174171,173152,172191,171328,170511,169654,168763,167915,167245,166659,166143,165599,165148,164740,164509,164399,164569,164894,165375,165829,166295,166737,167229,167813,168526,169328,170306,171399,172649,173911,175254,176621,177992,179263,180474,181636,182722,183761,184791,185852,186728,187448,188104,188777,189368,189776,190158,190649,191297,192031,192772,193597,194508,195454,196393,197204,197916,198599,199328,200092,200831,201705,202680,203739,204665,205662,206626,207604,208480,209319,210197,211143,212206,213302,214405,215534,216705,217956,219153,220300,221304,222310,223411,224625,225900,227206,228507,229886,231228,232556,233781,234902,235942,236927,237910,238882,239864,240863,241890,242837,243652,244356,245006,245612,246167,246730,247368,248086,248827,249660,250652,251804,253099,254329,255182,255894,257000,258930,261458,264298,267345,270411,273667,277048,280732,284621,289364,294933,300860,306296,310955,315082,318996,323361,328095,333313,338585,344141
394913,1,"New York, NY",Msa,NY,225180,226526,227736,230120,232338,234701,237183,239752,242329,244879,247330,249625,251834,254264,256641,259122,261474,264017,266491,269167,271877,274866,277619,280276,282960,285573,288119,290574,293170,296116,299287,303205,307308,311406,315040,318716,322415,326216,330292,334085,337956,341665,345589,349367,352808,356016,359013,361935,365219,368493,371999,375378,379416,383732,388515,393288,398238,403143,407771,412007,416010,419974,424104,429040,434304,439493,444268,449066,453956,458967,463375,467712,471414,475297,478359,481190,483577,485903,487370,487817,487272,485909,484185,482307,480644,479489,479547,479340,479115,477500,475649,473802,471814,470559,469074,467653,466316,464823,462793,460563,457222,454193,450773,447781,444545,440993,437302,433881,430215,426748,423405,420139,417486,414663,412111,409252,407125,405522,404610,404033,403924,404217,404035,403989,403682,404268,404678,404730,403959,402441,400580,398446,397079,395989,395488,394329,393099,391281,389623,387932,386319,384668,382864,381317,379887,378592,377523,376816,376548,376517,376306,375975,375595,375302,375460,375889,376555,377451,378565,380298,382290,384206,385928,387400,388960,390675,392476,394052,395923,397609,399578,401301,403009,404422,405275,405884,406400,406881,407304,407952,408657,409667,410375,411598,412703,413986,414694,415057,415473,415968,417223,418168,418923,419543,420641,422334,423920,425167,426129,426979,427920,429047,430342,431769,433661,435307,437406,439114,441709,443948,446312,448219,450060,451776,453439,455139,457264,459879,462832,465865,468245,469902,470613,471317,472499,474198,476047,477615,478631,479510,480410,481414,482102,482301,482269,481995,481529,480990,480694,481234,482266,483748,485170,486666,487478,488036,489256,491852,496371,501874,507920,513763,518621,523378,527760,532519,538051,545244,553205,560830,566755,571322,574889,578138,582110,586761,593206,600354
753899,2,"Los Angeles-Long Beach-Anaheim, CA",Msa,CA,232463,233273,234512,236869,239397,241783,244227,246792,249235,251470,253538,255716,257390,259203,261136,263830,266471,268907,271399,273997,276691,279361,281688,284136,286154,288533,291366,294971,299069,303251,308514,313996,319576,324559,329508,334397,338514,342316,346522,351225,357086,361721,367773,374095,381593,387776,393787,399792,406859,414605,423383,433481,445863,458056,468865,477785,486766,495600,501432,507430,512777,520220,528034,536063,543791,551046,559588,568685,578030,587524,593939,600573,606189,611674,616667,620839,626093,630053,631307,632746,630967,631119,629889,629934,630094,629791,628690,626751,623261,620039,614050,607565,599612,592082,586403,579269,572891,563281,552783,538671,524228,510911,498824,488147,480576,473051,464927,454118,446406,442219,439226,436177,433148,429450,426901,425226,425330,426004,428916,433745,435693,435176,435443,438410,442176,441413,438811,434077,429936,425810,422066,420735,420016,420419,418647,416866,411920,410708,409510,407517,403083,398958,398507,398733,398110,397367,396686,397202,398290,399975,402585,404637,407046,410736,415124,421606,427975,437239,446316,456226,464381,472891,480308,488112,494671,499883,505650,510735,516449,518940,519920,519205,519230,519372,520223,518775,518313,518802,522005,525805,530423,535388,539272,540690,542612,544586,545786,547207,549235,553568,556950,562801,566734,571030,572824,576070,579218,582138,582893,584529,586801,591383,595135,597979,602457,605533,608909,610488,613685,617475,619039,620748,622962,627760,633722,638934,643872,649075,654128,658701,661266,664148,664582,665464,665917,669192,671056,670542,669375,667214,665864,665431,666404,667427,666487,667215,669944,674268,676292,678112,681104,687235,694234,699386,697466,694550,696301,705522,716196,726214,733745,740116,745280,752810,760724,771831,787584,807500,828517,842036,851198,855983,863228,872578,883420,895826,913415,932783
394463,3,"Chicago, IL",Msa,IL,171008,171411,171933,172979,174086,175184,176398,177760,179168,180553,181812,183041,184194,185213,186369,187505,188906,190201,191510,192834,194171,195601,196788,197860,198776,199842,201128,202209,203419,204528,206013,207530,208998,210347,211313,212479,213604,214970,216199,217606,218815,219921,220945,222262,223746,225149,226392,227503,228852,230136,231453,232929,234558,236446,238150,239889,241353,242891,244425,246177,247793,249512,251189,253112,255112,257152,259023,260801,262715,264593,266210,267762,269269,270762,272276,273585,275028,275850,276548,277014,277375,277528,277610,277877,278462,279020,279384,279327,279006,278506,277846,277150,276047,274968,273937,272689,271428,,,265039,,261690,260707,257277,255182,251448,248463,244478,240086,237027,233794,232512,230223,228835,227228,225777,223281,221078,218911,218266,217135,216841,215314,215901,215120,215884,213334,211928,209169,207443,204495,201965,199673,197896,196770,195177,194483,193014,192581,191196,190038,187564,186139,183856,182756,180599,180450,180124,180585,180461,179640,178808,177833,178185,178577,178890,179627,180712,181706,183015,184261,186359,188044,190119,191733,193924,194907,196258,197005,198514,199296,199764,200441,201550,202432,202645,202976,203233,203694,204229,204726,205365,206270,207560,208530,208578,208543,208366,208385,208377,208608,209465,210556,212384,213732,214705,215169,215541,216171,216625,217085,217594,218624,220132,222000,223703,225506,226802,227771,227917,227996,228157,228811,229719,230865,232308,233918,235279,236083,236570,237025,237461,237874,238174,238825,239330,240109,240730,241267,242013,242480,242990,243049,242976,242936,242866,242863,242754,242762,242976,243460,244071,244603,244731,244562,244532,245549,247222,250121,252992,255808,258045,259583,261919,264044,267102,269869,273710,277899,282038,285127,287802,290513,293248,295899,298481,301795,305282
394514,4,"Dallas-Fort Worth, TX",Msa,TX,131509,131615,131702,131916,132140,132327,132528,132898,133358,133893,134381,134880,135094,134769,134486,134366,134586,134653,134726,135023,135253,135457,135507,135655,135797,136094,136471,137020,137520,138213,138832,139477,139937,140357,140752,141119,141393,141536,141726,141925,142108,142304,142368,142537,142710,142985,143198,143208,143976,145481,,149840,150907,151257,151400,151786,152132,152506,152739,152916,153641,153980,154376,154522,154993,155468,155740,156061,156397,156404,156506,156358,156373,156607,156929,157543,158202,158836,159164,159279,159517,160293,160776,161291,160942,160498,160032,160244,160724,161152,161524,161929,162517,162857,163061,163225,162236,160948,159367,158788,158383,158103,157973,157409,156514,155370,154504,153944,153518,153570,153728,154048,154250,154203,154258,154012,153976,153868,154394,154786,154742,154480,154248,154604,154734,154785,154220,153390,152327,151415,150477,149957,149525,149015,148520,147816,147419,146831,146757,146609,146677,146536,146368,145964,145663,146053,146643,147331,147797,148380,149114,149552,149922,150247,150926,151608,152409,153100,154060,155038,156127,157248,158436,159382,160431,161600,163006,164260,165224,166294,167272,168248,169153,170255,171013,171761,172293,173299,174585,176050,177669,179243,180980,182721,184537,186356,188132,189315,190386,191575,193246,195163,196821,198544,200087,201927,203868,205729,207641,208995,210467,212014,214002,216108,217936,219836,221294,222951,224449,226040,227340,228628,230256,232102,233954,235608,237436,239455,241429,242982,244156,245291,246283,247507,248529,249623,250684,252009,253734,254877,255523,255567,255691,255693,255767,256470,257637,258200,258453,258348,259358,260311,261578,262197,262614,263226,264288,266663,269282,272408,274811,277432,279775,283181,287236,292808,299277,306664,314537,322504,329755,335885,341397,347324,354799,363370,371527,381089
394974,5,"Philadelphia, PA",Msa,PA,130196,130632,130894,131546,132073,132669,133216,133799,134446,135117,135726,136265,136812,137469,138224,139007,139732,140496,141374,142344,143379,144318,145316,146088,146911,147689,148684,149797,150935,152217,153566,155280,157092,158897,160404,161940,163366,164808,166144,167687,169407,171288,173321,175436,177573,179497,181292,182800,184286,185723,187381,189250,191531,194148,197095,200242,203044,205379,207321,209498,211873,213930,215877,217920,220642,223701,226914,229967,232754,235498,237878,240102,241705,243291,244846,246704,248555,250266,251652,252546,253003,253232,253206,253016,252681,252634,253146,253722,254574,254931,255151,254645,253993,253546,253151,252654,251676,251310,251192,251343,250628,249384,247628,245808,243858,242019,240389,238902,237517,236562,236153,235925,235384,234511,233325,232232,231178,230754,230706,230791,230971,231007,231192,231401,231731,231871,231409,230240,228528,226635,224748,223249,222128,221446,220827,219865,218477,216842,215368,214179,213009,211935,210957,210228,209467,208751,208458,208440,208382,207897,207202,206526,206117,205792,205710,205631,205929,206251,206806,207419,208324,209265,210162,210732,211348,211789,212361,212705,213296,213866,214239,214089,214103,214275,214559,214425,214250,214173,214350,214678,215000,215257,215612,216116,216394,216493,216538,216802,217010,217036,217014,217028,217285,217661,217944,218358,218785,219545,220055,220592,221028,221726,222447,223456,224546,225473,226150,226732,227369,227853,228187,228672,229334,230359,231392,232533,233458,234676,236149,237656,238640,239148,239621,240154,240952,241688,242744,243753,244791,245543,246407,247065,247697,247924,248357,248807,249282,249698,250204,251085,252014,253016,253520,254550,255364,256687,258312,260929,264097,267785,271313,275002,278240,281366,284473,287808,292170,297015,301558,305189,308060,310521,313009,315295,317850,320403,323661,327347
394692,6,"Houston, TX",Msa,TX,126326,126404,126285,126403,126411,126613,126742,127021,127378,127612,128131,128607,128857,128838,128381,128182,128124,128318,128482,128372,128467,128621,128841,128955,129088,129326,129878,130509,131111,131616,132125,132780,133315,133733,134009,134256,134638,134962,135368,135604,135841,136040,136257,136517,136677,136880,137026,137270,137741,138847,,141965,143291,143670,144659,145171,146019,146679,147334,148103,148794,149512,150051,150489,150682,150918,151024,151040,150977,150860,151017,151072,151242,151205,151420,151726,152408,152928,153518,154026,154683,155422,156042,156728,157054,157053,156847,157078,157611,158325,158726,159200,159537,159885,160095,160353,159842,159325,158725,158693,158454,158148,157882,157242,156430,155676,154772,153838,152855,152744,152774,153017,153260,153743,154327,154457,154249,153780,153780,153987,153985,154086,154435,155024,155397,155195,154345,152972,151828,151007,150512,150007,149431,148798,147938,147304,146813,146534,146413,146332,146132,145841,144970,144396,144204,144568,145162,145572,146089,146424,146974,147474,147811,147838,148133,148474,149284,150272,151902,153608,155210,156466,157742,159082,160437,161844,163148,164372,165765,167244,168482,169396,170230,171497,172875,174478,176021,177444,178781,180175,181731,183175,184798,186220,187623,188751,189474,189956,190451,191364,192223,193024,194044,194934,195487,195686,196269,196983,197678,197940,198200,198497,199454,200546,201212,201742,202266,202960,203408,203868,204145,204383,204702,205300,206051,206752,207424,207915,208422,209377,210388,211300,211873,212784,213762,214780,215566,216269,217242,218085,218576,218600,218698,219126,219601,220044,220350,221080,221811,222461,222411,222640,223241,224273,224866,225278,225735,226773,228696,230855,233260,235510,237827,240458,242362,244822,247996,253267,259085,265098,269978,274277,277446,280868,284325,288639,293996,299998
395209,7,"Washington, DC",Msa,DC,193652,193899,194279,195087,196210,197443,198980,200640,202301,203962,205586,207483,209157,210684,212318,214382,216747,219141,221566,224066,226501,228798,231112,233413,235509,237475,239616,242220,245214,248455,251963,255631,259098,262237,264980,267694,270068,272858,275788,279136,282438,285947,289591,293178,296841,300509,303946,307111,310052,313691,317797,322859,328594,335163,342687,350210,357785,363804,369057,374264,380253,386164,392367,399744,408371,416790,424505,431256,437895,443789,448482,452782,456467,460335,464283,467585,470066,470941,471209,470672,468371,465211,462734,461233,459952,458598,457410,456891,455624,452908,449328,445647,442727,439125,435209,430564,426368,421731,416365,410441,403645,397300,390668,384640,378366,372880,368181,364259,359816,355522,351476,348266,346303,344860,343407,341585,339552,338451,338430,339658,341475,342429,343746,345125,346897,347135,346114,344379,342947,341724,340291,339302,338930,339758,340126,340277,339335,338852,337604,336501,334910,333944,334035,334184,334484,335010,336621,338146,339245,340212,341288,342151,342868,344423,346923,349708,352690,355409,357977,360179,362410,364331,366235,368206,371139,374029,376988,378877,380725,382680,384376,385565,385374,384894,384528,384035,384077,384221,384693,384998,384788,385475,386260,386553,386270,385855,385649,385225,385154,385782,386539,387596,388448,388717,388883,389659,391034,391864,392262,392525,393608,394699,395978,397482,399582,402246,403659,404408,403923,404254,404639,405992,407358,409240,411155,412401,413309,414259,415817,417494,419140,420593,421736,422561,423305,424359,425333,426993,428700,430658,431947,432730,433028,433283,433204,434074,435375,437369,439172,440602,441615,442738,444074,446005,447085,448702,451368,455472,460195,464862,469755,474419,478960,483810,489654,496508,503744,510543,515610,519229,521698,524588,527515,530940,534742,539822,545471,550917
394856,8,"Miami-Fort Lauderdale, FL",Msa,FL,125346,125808,126221,127034,127703,128382,129093,129844,130640,131421,132271,133185,134061,134999,136126,137384,138838,140302,142026,143938,145940,147979,149720,151358,152821,154253,155601,157086,158649,160307,162063,164081,165972,167787,169376,171431,173462,175594,177750,180052,182439,184599,186730,188946,191358,193722,196039,198058,200385,202546,205029,207502,210741,214299,218178,222257,226359,230397,234122,238205,242104,246374,250992,256120,261900,268057,274920,281531,287900,293419,298281,302637,306997,310844,315221,320733,326135,330786,333523,335423,336446,336700,337235,337170,336648,335764,333862,331524,328554,325448,321757,317720,313326,309633,304900,300410,294089,288513,281653,275928,269655,264349,258083,251262,243938,236694,230111,224253,218839,214164,209238,204818,200050,196289,192856,190051,187456,185654,184266,182781,181890,181453,181555,181259,180525,179070,177642,176072,174719,172771,171195,169776,168453,167225,166131,165426,164449,163344,162216,161535,161172,161085,161203,161303,161706,161773,162228,162649,163465,164314,165224,166565,168253,169960,171431,173009,175179,177724,180486,183367,186109,188274,190746,193393,196506,199419,202993,206475,209856,212119,214204,215211,216709,217872,219777,221213,222727,224359,225402,226851,228031,229806,230884,232080,233022,234240,235241,236448,238027,239499,241430,243197,245143,246677,247875,249114,250459,252345,254317,256035,257327,258696,260314,262173,263641,264933,265760,266991,268220,269559,270752,272328,273776,275558,276630,278104,279009,280698,282503,284093,285794,287259,288978,290063,290913,291676,293578,295241,296887,297065,297608,298014,298296,298818,299125,299246,299175,299759,300513,300938,301684,303738,305676,307309,308330,309161,309802,311166,313479,316228,318763,321794,325110,328132,331971,335620,341321,347552,354931,362349,370474,378661,386319,393566,401592,409179,419392,430068
394347,9,"Atlanta, GA",Msa,GA,154002,154514,155041,156108,157151,158181,159154,160209,161278,162427,163441,164549,165549,166537,167382,168193,169032,169816,170583,171362,172149,172916,173621,174321,174987,175689,176287,176911,177420,177931,178335,178759,179192,179668,180080,180417,180764,181094,181496,181831,182154,182448,182716,183084,183436,183781,184053,184400,184662,184979,185273,185787,186242,186638,186984,187478,188003,188548,188947,189369,189842,190395,190915,191497,192196,192988,193645,194266,194877,195515,196128,196739,197365,197948,198420,198919,199434,200078,200802,201459,201953,202275,202480,202821,203078,203410,203769,204214,204641,204881,205035,204966,204589,203985,203075,202295,200931,199534,197840,196763,195799,194808,193505,191986,190367,188465,185871,182585,179302,176473,174114,171748,169535,167710,166441,165446,164344,163098,162011,161326,160499,159791,159192,159254,159286,159030,157584,155674,153145,151155,149081,147308,145417,143984,142438,140741,138451,136378,134772,134033,133795,133699,133392,132283,131546,130916,131650,132379,133379,134355,135386,135921,135798,135896,136715,137858,139260,140829,142716,144448,146353,148321,150321,152516,154805,157090,159038,161033,162684,164171,165307,166461,167517,168412,169400,170160,170933,171644,172504,173442,174352,175174,175837,176698,177840,179080,179906,180673,181485,182380,183333,184317,185518,186677,188050,189482,190741,191568,192133,192656,193176,194157,195381,197102,198342,199693,200735,201954,203176,204559,206008,207176,208762,210293,212115,214034,216125,218157,219601,220986,222319,223760,225274,226801,228501,230243,231884,233390,234516,235614,236770,238010,239023,239427,239917,240627,241606,242406,243171,244261,245431,246920,247989,249052,249586,250448,251818,253945,256656,259633,262758,266108,269450,273383,277370,282165,287593,294384,301762,309205,316276,323700,331250,339074,346552,353355,360514,367946
