RegionID,SizeRank,RegionName,RegionType,StateName,1/31/1996,2/29/1996,3/31/1996,4/30/1996,5/31/1996,6/30/1996,7/31/1996,8/31/1996,9/30/1996,10/31/1996,11/30/1996,12/31/1996,1/31/1997,2/28/1997,3/31/1997,4/30/1997,5/31/1997,6/30/1997,7/31/1997,8/31/1997,9/30/1997,10/31/1997,11/30/1997,12/31/1997,1/31/1998,2/28/1998,3/31/1998,4/30/1998,5/31/1998,6/30/1998,7/31/1998,8/31/1998,9/30/1998,10/31/1998,11/30/1998,12/31/1998,1/31/1999,2/28/1999,3/31/1999,4/30/1999,5/31/1999,6/30/1999,7/31/1999,8/31/1999,9/30/1999,10/31/1999,11/30/1999,12/31/1999,1/31/2000,2/29/2000,3/31/2000,4/30/2000,5/31/2000,6/30/2000,7/31/2000,8/31/2000,9/30/2000,10/31/2000,11/30/2000,12/31/2000,1/31/2001,2/28/2001,3/31/2001,4/30/2001,5/31/2001,6/30/2001,7/31/2001,8/31/2001,9/30/2001,10/31/2001,11/30/2001,12/31/2001,1/31/2002,2/28/2002,3/31/2002,4/30/2002,5/31/2002,6/30/2002,7/31/2002,8/31/2002,9/30/2002,10/31/2002,11/30/2002,12/31/2002,1/31/2003,2/28/2003,3/31/2003,4/30/2003,5/31/2003,6/30/2003,7/31/2003,8/31/2003,9/30/2003,10/31/2003,11/30/2003,12/31/2003,1/31/2004,2/29/2004,3/31/2004,4/30/2004,5/31/2004,6/30/2004,7/31/2004,8/31/2004,9/30/2004,10/31/2004,11/30/2004,12/31/2004,1/31/2005,2/28/2005,3/31/2005,4/30/2005,5/31/2005,6/30/2005,7/31/2005,8/31/2005,9/30/2005,10/31/2005,11/30/2005,12/31/2005,1/31/2006,2/28/2006,3/31/2006,4/30/2006,5/31/2006,6/30/2006,7/31/2006,8/31/2006,9/30/2006,10/31/2006,11/30/2006,12/31/2006,1/31/2007,2/28/2007,3/31/2007,4/30/2007,5/31/2007,6/30/2007,7/31/2007,8/31/2007,9/30/2007,10/31/2007,11/30/2007,12/31/2007,1/31/2008,2/29/2008,3/31/2008,4/30/2008,5/31/2008,6/30/2008,7/31/2008,8/31/2008,9/30/2008,10/31/2008,11/30/2008,12/31/2008,1/31/2009,2/28/2009,3/31/2009,4/30/2009,5/31/2009,6/30/2009,7/31/2009,8/31/2009,9/30/2009,10/31/2009,11/30/2009,12/31/2009,1/31/2010,2/28/2010,3/31/2010,4/30/2010,5/31/2010,6/30/2010,7/31/2010,8/31/2010,9/30/2010,10/31/2010,11/30/2010,12/31/2010,1/31/2011,2/28/2011,3/31/2011,4/30/2011,5/31/2011,6/30/2011,7/31/2011,8/31/2011,9/30/2011,10/31/2011,11/30/2011,12/31/2011,1/31/2012,2/29/2012,3/31/2012,4/30/2012,5/31/2012,6/30/2012,7/31/2012,8/31/2012,9/30/2012,10/31/2012,11/30/2012,12/31/2012,1/31/2013,2/28/2013,3/31/2013,4/30/2013,5/31/2013,6/30/2013,7/31/2013,8/31/2013,9/30/2013,10/31/2013,11/30/2013,12/31/2013,1/31/2014,2/28/2014,3/31/2014,4/30/2014,5/31/2014,6/30/2014,7/31/2014,8/31/2014,9/30/2014,10/31/2014,11/30/2014,12/31/2014,1/31/2015,2/28/2015,3/31/2015,4/30/2015,5/31/2015,6/30/2015,7/31/2015,8/31/2015,9/30/2015,10/31/2015,11/30/2015,12/31/2015,1/31/2016,2/29/2016,3/31/2016,4/30/2016,5/31/2016,6/30/2016,7/31/2016,8/31/2016,9/30/2016,10/31/2016,11/30/2016,12/31/2016,1/31/2017,2/28/2017,3/31/2017,4/30/2017,5/31/2017,6/30/2017,7/31/2017,8/31/2017,9/30/2017,10/31/2017,11/30/2017,12/31/2017,1/31/2018,2/28/2018,3/31/2018,4/30/2018,5/31/2018,6/30/2018,7/31/2018,8/31/2018,9/30/2018,10/31/2018,11/30/2018,12/31/2018,1/31/2019,2/28/2019,3/31/2019,4/30/2019,5/31/2019,6/30/2019,7/31/2019,8/31/2019,9/30/2019,10/31/2019,11/30/2019,12/31/2019,1/31/2020,2/29/2020,3/31/2020,4/30/2020,5/31/2020,6/30/2020
102001,0,United States,Country,,106949,106976,107027,107152,107295,107464,107630,107842,108057,108313,108563,108835,109019,109252,109504,109829,110159,110468,110802,111098,111411,111691,112043,112430,113005,113535,114044,114388,114761,115143,115554,116018,116541,117103,117584,118013,118382,118857,119384,120007,120603,121278,121965,122590,123151,123708,124374,125073,125798,126515,127236,127973,128710,129425,130138,130896,131692,132495,133316,134169,135013,135797,136575,137364,138161,138932,139686,140449,141219,142003,142757,143496,144235,145006,145795,146581,147378,148218,149100,150001,150896,151817,152771,153758,154728,155683,156622,157565,158517,159443,160379,161375,162461,163600,164738,165872,167075,168382,169772,171167,172643,174191,175832,177445,179051,180641,182253,183939,185671,187407,189112,190899,192704,194587,196489,198415,200338,202156,203893,205460,206860,208131,209368,210541,211621,212517,213214,213738,214056,214284,214427,214509,214575,214591,214552,214420,214106,213646,213028,212434,211727,210935,209957,208928,207727,206296,204677,202927,201220,199495,197782,195932,194160,192376,190540,188637,186788,185237,183743,182289,180864,179643,178698,177910,177234,176707,176490,176392,176328,176130,175982,175946,175867,175583,174897,174075,173127,172197,171161,170189,169219,168303,167338,166306,165276,164386,163770,163322,162989,162624,162300,161985,161775,161647,161720,161956,162344,162758,163222,163742,164339,165032,165830,166701,167675,168701,169831,171008,172250,173546,174877,176213,177507,178732,179836,180858,181813,182735,183464,184064,184605,185204,185792,186305,186807,187396,188111,188862,189582,190322,191185,192080,192987,193794,194593,195446,196330,197193,197974,198835,199773,200734,201587,202475,203378,204359,205362,206378,207399,208429,209529,210602,211656,212684,213791,214948,216104,217266,218384,219523,220706,221952,223228,224483,225679,226903,228120,229344,230570,231735,232874,233911,234894,235811,236698,237565,238401,239120,239710,240259,240974,241764,242607,243355,244147,244953,245744,246555,247412,248346,249366,250400,251305,252178
394913,1,"New York, NY",Msa,NY,189215,188773,188492,187955,187635,187343,187164,187071,187116,187241,187366,187513,187790,188403,189124,189799,190300,190926,191553,192179,192697,193210,193935,194763,195669,196274,196746,197168,197707,198289,198865,199669,200673,201902,202997,204152,205110,206293,207550,209164,210922,212771,214857,216697,218506,220112,221963,223881,225946,228194,230617,233028,235340,237658,240028,242422,244830,247220,249659,252049,254428,256918,259365,261928,264426,266975,269368,271784,274260,277057,279861,282666,285509,288212,290808,293426,296171,299175,302293,305990,309915,313851,317613,321536,325434,329441,333644,337647,341526,345134,348809,352191,355260,358176,361264,364449,368046,371630,375376,378930,382890,387042,391603,396147,400919,405724,410589,415155,419544,423712,427902,432730,437613,442443,446936,451613,456494,461516,466199,470848,474808,478596,481232,483469,485215,487151,488489,488875,488434,487044,485506,483726,482127,480791,480530,479946,479493,477791,476127,474422,472673,471523,470217,468760,467317,465445,462941,460279,456629,453492,450134,447363,444397,441035,437468,434030,430153,426289,422636,419183,416550,413669,411143,408467,406670,405539,405072,404840,404759,404823,404351,404138,403696,404112,404378,404502,403888,402672,401098,399198,397805,396514,395756,394332,392776,390582,388698,387012,385581,384269,382803,381575,380202,378853,377573,376637,376093,375901,375728,375638,375605,375709,376220,376950,377670,378560,379477,380926,382509,384136,385877,387619,389500,391534,393506,395238,397141,398814,400665,401941,403162,404186,405092,406025,406860,407611,408067,408849,409647,410809,411547,412527,413331,414442,415377,416254,417171,418124,419586,420728,421499,422121,422961,424278,425346,426395,427511,428832,430208,431685,433120,434749,436692,438336,440129,441397,443630,445899,448692,451196,453526,455562,457336,459047,461103,463536,466034,468468,470387,472047,473104,474262,475815,477717,479572,480839,481425,481687,481940,482238,482662,483003,483551,483853,484020,483996,484088,484589,485343,486187,486928,487729,488463,489369
753899,2,"Los Angeles-Long Beach-Anaheim, CA",Msa,CA,186371,186631,186650,186760,186733,186760,186861,186813,186698,186601,186579,186704,186373,185802,185468,185672,186199,186680,187305,188209,189228,190206,191119,192148,193853,195968,197943,199409,200777,202078,203099,204455,206146,208037,209866,211324,213073,214617,216285,217755,219242,221282,223483,224992,226129,227444,229374,231381,233079,234772,236713,238947,241280,243443,245574,247943,250309,252558,254680,256971,259168,261497,263694,266224,268507,270780,272755,274903,277199,279895,282420,285132,287910,291063,294394,297943,301515,305660,310461,315555,320520,325524,331007,336514,341531,346032,350575,355022,359893,364074,369391,375330,382187,388343,395441,402556,411047,419673,428863,438819,450026,461669,471579,479859,488028,496401,503475,510538,517116,525086,533003,540709,547030,553378,561634,570612,580275,589369,596865,603904,609739,614914,619420,623332,627952,631186,632489,633669,632044,631406,630067,629986,629284,628072,626236,624841,621969,619281,614278,607894,599557,590972,584364,577076,569586,558899,547342,533253,519201,506957,496369,487015,479841,472292,463322,451805,443372,438965,435702,432444,429579,426953,425766,425794,426790,428214,430833,434854,435970,434495,434224,436259,439988,439354,437158,433608,430778,427757,423577,420778,419364,418959,416878,413919,408736,407331,406271,405330,402560,399865,399484,398521,397314,395705,394981,395002,396631,398261,400936,403736,407615,412728,416979,422575,428037,436479,445507,455550,464308,472853,480375,489199,496977,502964,508099,511675,515860,516701,517161,516644,517138,517633,519205,518973,519470,520120,523005,525629,529074,533111,537323,539705,542256,544837,547557,550690,553954,557855,560509,565093,567594,570913,572734,576873,580452,583662,586424,590031,593950,597743,600549,602299,605921,608616,612314,614638,618451,622308,625773,628730,631673,634773,639800,644794,648926,652877,656698,660770,663791,666885,669464,670638,670724,671443,672059,671514,670090,666861,663719,662209,664687,667899,671076,672985,676150,678673,680344,682780,685735,690186,694356,697198,696997,696024
394463,3,"Chicago, IL",Msa,IL,162245,161947,161554,161107,160509,160185,159712,160275,161086,162730,164027,164987,165269,165219,165379,165239,165409,165148,164848,162468,159546,155284,151993,149620,148756,148652,148592,148575,148516,148443,148770,150180,152225,154899,157175,158910,159711,160179,160661,161320,161879,162821,163824,164786,165413,166129,167012,167957,169152,170379,171626,172736,173834,174894,175917,177062,178318,179578,180882,182235,183552,184670,185810,187027,188412,189710,190863,191988,193167,194492,195784,196957,197988,199099,200375,201469,202639,203771,205219,206587,207895,209114,210176,211449,212696,214120,215372,216761,217900,218940,219898,221081,222477,223823,225206,226407,227865,229182,230540,231971,233514,235332,237012,238681,240084,241606,243282,245117,246764,248463,250128,251949,253767,255696,257594,259398,261386,263338,265108,266708,268118,269587,270792,272038,273072,273940,274546,275218,275689,276088,276280,276640,277181,277923,277693,277443,276259,275875,274748,274268,273133,272443,271587,270597,269699,266915,266166,263047,262311,258832,257471,254146,252378,249182,246620,242806,238798,235815,232500,230462,227472,225423,223612,222201,220187,218635,217183,217047,216428,216275,214593,214386,212804,212771,210006,208611,206350,205196,202789,200799,198771,197209,195828,193582,192193,189990,189615,188309,187711,185486,184492,182696,181786,179804,179441,178889,178898,178298,177432,176686,176059,176522,177226,177966,178921,180150,180974,182199,183117,184887,186542,188800,190716,192897,194011,195450,196230,197503,198052,198256,198732,199654,200631,201104,201770,202109,202801,203247,203689,203812,204463,205575,206572,206781,206983,207247,207629,207919,208305,208926,209671,210905,211884,212668,213250,214087,215201,216222,217048,217847,218861,219981,221264,222318,223637,224784,225829,226523,227047,227783,228677,229856,230948,232162,233325,234150,234556,235001,235665,236598,237280,237924,238654,239268,239854,240137,240208,240438,240678,241156,241573,241820,242098,242202,242307,242330,242340,242459,242697,242973,243363,243558,243681,243827
394514,4,"Dallas-Fort Worth, TX",Msa,TX,111253,111316,111475,111794,112136,112383,112559,112779,112999,113334,113661,113990,114048,114140,114167,114333,114426,114620,114848,115098,115392,115729,116011,116364,116814,117261,117621,117729,117951,118198,118584,118931,119291,119215,119215,119128,119713,120482,121464,122411,123213,124046,124791,125309,125647,126328,127155,127953,128264,128590,128834,129076,129254,129425,129612,129908,130354,130808,131209,131595,131833,131661,131482,131386,131567,131587,131658,131871,132091,132242,132283,132428,132636,133056,133416,133906,134358,135054,135749,136346,136828,137262,137766,138301,138545,138562,138348,138265,138349,138596,138843,139073,139373,139792,140219,140538,141265,142613,144580,146161,147041,147379,147689,148154,148598,149087,149497,149998,150744,150983,150981,150789,151011,151432,151854,152269,152627,152573,152714,152696,152947,153419,153860,154310,154697,155122,155384,155458,155576,156210,156612,157044,157038,156973,156945,157086,157318,157494,157649,158014,158530,158859,158986,158999,158343,157330,156063,155208,154495,153981,153667,153200,152414,151459,150565,149895,149762,150086,150516,150600,150552,150320,150244,150140,150288,150442,151009,151317,151362,151133,150907,151033,150933,150888,150190,149481,148547,147862,146986,146511,146177,145627,145023,144113,143576,142932,142765,142769,142996,143071,142971,142650,142480,142914,143461,144073,144454,144960,145548,146069,146535,146958,147589,148300,149172,149792,150600,151465,152516,153571,154708,155831,157124,158417,159709,160866,161772,162762,163593,164433,165223,166178,166884,167904,168803,170035,171201,172485,173992,175435,177088,178693,180371,182026,183770,185285,186719,188059,189558,191218,192767,194325,195829,197521,199353,201096,203039,204707,206429,208048,209854,211704,213340,215043,216512,218194,219770,221408,222840,224281,225955,227810,229567,231060,232451,234095,235891,237561,238947,240284,241434,242537,243258,244253,245280,246709,247981,248810,249225,249519,250097,250506,250948,251403,252163,252613,253023,253241,253686,254326,255265,256306,257294,258430
394974,5,"Philadelphia, PA",Msa,PA,120990,120835,120695,120450,120286,120191,120146,120124,120165,120252,120381,120487,120618,120786,121015,121268,121518,121752,121955,122113,122225,122309,122434,122611,122804,123002,123190,123336,123409,123459,123536,123781,124066,124410,124607,124811,124981,125225,125522,125883,126290,126704,127174,127550,127911,128235,128792,129470,130226,130961,131566,132175,132737,133340,133864,134374,134928,135569,136158,136767,137387,138119,138923,139708,140485,141241,142085,142912,143773,144614,145618,146506,147488,148439,149590,150776,151956,153187,154408,155870,157434,159136,160700,162439,164101,165851,167442,169132,170830,172528,174248,175918,177718,179527,181472,183194,184949,186780,188837,190951,193168,195503,198024,200698,203198,205441,207582,210016,212772,215244,217512,219647,222100,224738,227437,230108,232752,235509,238133,240617,242614,244489,246085,247736,249078,250320,251280,252070,252654,253003,253191,253211,253313,253364,253629,253672,254051,254173,254373,254099,253831,253607,253383,253032,252340,251868,251197,250575,249285,247850,246247,244859,243489,241982,240500,239054,237730,236547,235608,234746,233812,232862,231961,231377,231005,231067,231318,231456,231554,231225,230792,230390,230375,230479,230237,229397,228143,226581,224869,223364,222099,221166,220043,218594,216863,215197,213924,213059,212256,211511,210739,210094,209227,208329,207711,207443,207176,206684,206098,205691,205519,205449,205480,205510,205744,205960,206292,206786,207557,208479,209395,210147,210909,211539,212143,212520,212965,213432,213663,213439,213343,213424,213675,213636,213579,213680,213946,214347,214578,214777,215160,215750,216093,216167,216279,216662,217035,217171,217210,217175,217296,217569,217825,218241,218712,219558,220264,220966,221549,222286,223016,223930,224927,225725,226290,226760,227461,228165,228788,229487,230277,231375,232377,233358,234119,235177,236546,237893,238895,239548,240237,240877,241714,242432,243366,244114,244949,245557,246451,246981,247695,248045,248760,249409,250056,250634,251137,251811,252558,253421,254007,254945,255904,257356
394692,6,"Houston, TX",Msa,TX,109143,109218,109227,109374,109513,109612,109650,109709,109874,110067,110334,110622,110587,110429,110290,110370,110462,110629,110858,111098,111258,111430,111668,111903,112555,113172,113808,114015,114267,114510,114807,115075,115349,115633,115657,115660,115780,116405,117281,118159,118946,119671,120403,121100,121644,122103,122610,123195,123708,123950,123997,124135,124192,124331,124425,124709,125032,125287,125737,126166,126367,126353,125983,125798,125772,125914,126051,125913,125986,126182,126400,126541,126686,126952,127500,128123,128699,129221,129698,130372,130905,131371,131721,132055,132465,132675,132769,132844,132953,133284,133479,133838,134054,134389,134688,135062,135581,136569,138009,139162,140333,140836,141799,142428,143346,144142,144893,145728,146433,147086,147371,147638,147599,147882,147930,148040,147975,147883,148038,148050,148317,148447,148782,149053,149575,150006,150522,151042,151684,152375,152933,153516,154006,154216,154234,154389,154737,155230,155450,155894,156279,156645,156906,157166,156967,156556,156008,155669,155097,154464,153972,153413,152835,152327,151584,150728,150096,150073,150114,150024,149982,150224,150690,151014,151091,150895,151056,151329,151523,151551,151802,152058,152110,151644,150633,149421,148532,148009,147776,147423,146940,146154,145039,144086,143308,142912,142742,142799,142821,142844,142291,141976,141871,142170,142548,142744,143072,143334,143820,144291,144708,144920,145517,146127,146962,147813,149168,150753,152270,153521,154730,155988,157346,158856,160352,161751,163066,164376,165324,166160,166968,168278,169746,171468,173145,174627,175959,177337,178672,179900,181303,182727,184082,185136,185871,186503,187143,188077,188793,189427,190263,191080,191605,191839,192389,193045,193863,194351,194798,195096,195879,196781,197283,197828,198470,199250,199711,200156,200581,200948,201362,201827,202398,202941,203536,204002,204562,205552,206620,207496,208145,209068,210100,210928,211497,212040,213118,214020,214507,214409,214595,215137,215855,216338,216683,217178,217723,218274,218462,218838,219476,220332,220989,221465
395209,7,"Washington, DC",Msa,DC,178770,178547,178416,178141,178022,177870,177705,177597,177619,177755,177814,177882,177664,177539,177360,177457,177409,177484,177632,177756,177698,177605,177673,177754,178151,178523,179010,179190,179379,179489,179601,179788,180085,180289,180451,180735,181256,182026,182766,183502,184175,184958,185756,186467,187287,188208,189363,190406,191444,192354,193267,194172,195236,196381,197746,199235,200782,202462,204136,206074,207943,209795,211724,213864,216093,218267,220343,222479,224664,226896,229311,231748,234260,236640,239117,241706,244497,247397,250407,253586,256678,259761,262751,265854,268877,272194,275513,278733,281611,284484,287301,290204,293321,297074,301098,305026,308820,313106,317648,322530,327653,333485,340149,347090,354221,360487,366504,372536,379334,385698,391982,398770,406424,414054,420950,427212,433579,439985,445455,450307,454216,458024,461565,463777,465070,465298,465259,464646,462380,459766,457810,456572,455249,453709,452193,451018,449254,446455,443197,439856,437482,434371,430498,425392,420674,415650,409941,403491,396255,389898,383815,378546,373158,368286,363725,359434,354445,349868,345641,342206,339986,338615,337855,336975,335966,335460,335621,336516,337790,338138,338865,339661,340985,341015,340495,339602,339286,338662,337238,335856,334900,335147,334748,334270,332989,332533,331872,331639,331029,330566,330599,330514,330359,330320,331281,332446,333702,335051,336804,338411,339685,341337,343367,345857,348487,350585,352415,354235,356787,359172,361526,364034,367165,369905,372223,373703,375238,376713,377908,378876,378949,378990,379131,379300,379420,379357,379435,379555,379293,379775,380536,380983,381229,381510,381994,382284,382400,382918,383343,384087,384678,384438,384405,385171,387024,388398,389423,390203,391440,392399,393479,394838,396772,399119,400461,401264,401206,401945,402936,404585,405944,407429,408949,409812,410461,410970,412369,413941,415942,417558,419124,419835,420370,420747,421140,422347,423873,425640,426863,427558,428367,429011,429725,430686,432078,433606,435134,436353,437381,438307,439502,441198,442829,444710
394856,8,"Miami-Fort Lauderdale, FL",Msa,FL,111202,111334,111474,111725,111943,112256,112571,112837,112948,113062,113224,113428,113338,113324,113330,113669,113968,114202,114414,114644,114897,115076,115251,115470,116245,116885,117437,117451,117583,117427,117347,117405,118024,118768,119341,119706,119766,119885,120019,120374,120781,121656,122447,123142,123232,123353,123651,124058,124602,125236,126044,126892,127579,128183,128774,129364,130126,130889,131821,132831,133873,134956,136165,137441,138903,140341,141987,143720,145634,147632,149478,151160,152725,154267,155677,157168,158649,160290,161966,163799,165507,167223,168939,171138,173359,175725,178052,180456,182691,184690,186550,188433,190586,192884,195457,197723,200372,202896,205609,208113,211063,214322,217825,221569,225439,229564,233663,238229,242602,247429,252345,257360,262647,268257,274716,281042,287284,292898,298010,302646,307476,311653,316313,321431,326195,329938,332098,333677,334683,334950,335639,335505,335328,334385,332794,329873,326487,322513,318626,314648,310610,307079,302390,297732,291495,285515,278760,272686,266543,260929,254790,248197,241328,234285,227760,221861,216491,211458,206405,201735,197232,193632,190556,188122,185923,184490,183228,181789,180841,180141,179965,179315,178611,177265,176070,174631,173339,171490,169892,168545,167093,165759,164415,163532,162589,161777,160975,160440,160042,160024,160144,160276,160517,160532,160828,161191,162059,163314,164555,166069,167662,169344,170686,172148,174046,176580,179306,182397,185241,187767,190393,193106,196005,198707,202076,205258,208239,210219,212226,213440,215089,216537,218464,219940,221263,222795,223642,224835,225756,227507,228844,230458,231724,233212,234294,235647,237303,238842,240739,242329,244224,245789,247364,248987,250642,252679,254714,256470,257823,259144,260713,262373,263924,265303,266433,267879,269267,270602,271825,273619,275387,277281,278137,279313,280059,281630,283426,284951,286645,287863,289468,290670,291749,292369,293879,295274,296661,296321,296360,296518,296852,297477,298098,298927,299499,300354,300934,301379,302002,303549,304705,305809,306684,307554
394347,9,"Atlanta, GA",Msa,GA,120459,120688,120910,121399,121882,122406,122872,123335,123772,124247,124735,125261,125607,125995,126409,126978,127509,127949,128444,129026,129678,130305,130840,131390,132268,133137,133928,134378,134954,135604,136317,136953,137572,138201,138991,139717,140387,141026,141810,142690,143535,144423,145359,146244,147137,148000,148885,149745,150534,151405,152333,153409,154454,155477,156443,157481,158515,159603,160582,161641,162631,163573,164394,165151,165963,166726,167509,168261,169004,169691,170377,171040,171703,172370,172955,173538,174027,174535,174976,175368,175756,176166,176586,176911,177276,177591,178003,178287,178587,178872,179188,179531,179848,180143,180451,180826,181124,181447,181769,182250,182665,183007,183360,183815,184317,184841,185309,185772,186296,186863,187425,187955,188580,189259,189841,190386,190988,191658,192395,193043,193764,194381,194919,195312,195660,196105,196658,197177,197616,197963,198357,198824,199319,199791,200311,200670,200889,200836,200677,200339,199799,199172,198474,197937,196977,195810,194257,193015,191791,190475,188899,187193,185584,183803,181536,178558,175745,173123,170844,168214,165758,163658,162309,161235,160241,159063,158234,157867,157439,156866,156167,155977,155895,155491,154022,152014,149594,147615,145666,144191,142594,141289,139450,137468,135042,132900,131361,130720,130820,130906,130727,129840,129296,128766,129257,129835,130768,131710,132718,133223,133220,133371,134236,135539,137088,138780,140508,142150,143952,145856,147767,149948,152334,154669,156567,158505,160084,161537,162528,163546,164381,165132,166104,166952,167857,168624,169466,170264,171075,171845,172516,173313,174355,175587,176547,177534,178499,179418,180292,181032,182099,183151,184569,185937,187124,187947,188660,189486,190192,191253,192404,193894,194977,196186,197293,198499,199753,201249,202863,204236,205853,207339,209035,210698,212637,214483,215957,217346,218836,220519,222178,223770,225315,226925,228388,229549,230443,231227,232383,233590,234867,235604,236318,237108,237952,238726,239486,240433,241531,242738,243863,244977,245989,247297
