RegionID,SizeRank,RegionName,RegionType,StateName,1/31/1996,2/29/1996,3/31/1996,4/30/1996,5/31/1996,6/30/1996,7/31/1996,8/31/1996,9/30/1996,10/31/1996,11/30/1996,12/31/1996,1/31/1997,2/28/1997,3/31/1997,4/30/1997,5/31/1997,6/30/1997,7/31/1997,8/31/1997,9/30/1997,10/31/1997,11/30/1997,12/31/1997,1/31/1998,2/28/1998,3/31/1998,4/30/1998,5/31/1998,6/30/1998,7/31/1998,8/31/1998,9/30/1998,10/31/1998,11/30/1998,12/31/1998,1/31/1999,2/28/1999,3/31/1999,4/30/1999,5/31/1999,6/30/1999,7/31/1999,8/31/1999,9/30/1999,10/31/1999,11/30/1999,12/31/1999,1/31/2000,2/29/2000,3/31/2000,4/30/2000,5/31/2000,6/30/2000,7/31/2000,8/31/2000,9/30/2000,10/31/2000,11/30/2000,12/31/2000,1/31/2001,2/28/2001,3/31/2001,4/30/2001,5/31/2001,6/30/2001,7/31/2001,8/31/2001,9/30/2001,10/31/2001,11/30/2001,12/31/2001,1/31/2002,2/28/2002,3/31/2002,4/30/2002,5/31/2002,6/30/2002,7/31/2002,8/31/2002,9/30/2002,10/31/2002,11/30/2002,12/31/2002,1/31/2003,2/28/2003,3/31/2003,4/30/2003,5/31/2003,6/30/2003,7/31/2003,8/31/2003,9/30/2003,10/31/2003,11/30/2003,12/31/2003,1/31/2004,2/29/2004,3/31/2004,4/30/2004,5/31/2004,6/30/2004,7/31/2004,8/31/2004,9/30/2004,10/31/2004,11/30/2004,12/31/2004,1/31/2005,2/28/2005,3/31/2005,4/30/2005,5/31/2005,6/30/2005,7/31/2005,8/31/2005,9/30/2005,10/31/2005,11/30/2005,12/31/2005,1/31/2006,2/28/2006,3/31/2006,4/30/2006,5/31/2006,6/30/2006,7/31/2006,8/31/2006,9/30/2006,10/31/2006,11/30/2006,12/31/2006,1/31/2007,2/28/2007,3/31/2007,4/30/2007,5/31/2007,6/30/2007,7/31/2007,8/31/2007,9/30/2007,10/31/2007,11/30/2007,12/31/2007,1/31/2008,2/29/2008,3/31/2008,4/30/2008,5/31/2008,6/30/2008,7/31/2008,8/31/2008,9/30/2008,10/31/2008,11/30/2008,12/31/2008,1/31/2009,2/28/2009,3/31/2009,4/30/2009,5/31/2009,6/30/2009,7/31/2009,8/31/2009,9/30/2009,10/31/2009,11/30/2009,12/31/2009,1/31/2010,2/28/2010,3/31/2010,4/30/2010,5/31/2010,6/30/2010,7/31/2010,8/31/2010,9/30/2010,10/31/2010,11/30/2010,12/31/2010,1/31/2011,2/28/2011,3/31/2011,4/30/2011,5/31/2011,6/30/2011,7/31/2011,8/31/2011,9/30/2011,10/31/2011,11/30/2011,12/31/2011,1/31/2012,2/29/2012,3/31/2012,4/30/2012,5/31/2012,6/30/2012,7/31/2012,8/31/2012,9/30/2012,10/31/2012,11/30/2012,12/31/2012,1/31/2013,2/28/2013,3/31/2013,4/30/2013,5/31/2013,6/30/2013,7/31/2013,8/31/2013,9/30/2013,10/31/2013,11/30/2013,12/31/2013,1/31/2014,2/28/2014,3/31/2014,4/30/2014,5/31/2014,6/30/2014,7/31/2014,8/31/2014,9/30/2014,10/31/2014,11/30/2014,12/31/2014,1/31/2015,2/28/2015,3/31/2015,4/30/2015,5/31/2015,6/30/2015,7/31/2015,8/31/2015,9/30/2015,10/31/2015,11/30/2015,12/31/2015,1/31/2016,2/29/2016,3/31/2016,4/30/2016,5/31/2016,6/30/2016,7/31/2016,8/31/2016,9/30/2016,10/31/2016,11/30/2016,12/31/2016,1/31/2017,2/28/2017,3/31/2017,4/30/2017,5/31/2017,6/30/2017,7/31/2017,8/31/2017,9/30/2017,10/31/2017,11/30/2017,12/31/2017,1/31/2018,2/28/2018,3/31/2018,4/30/2018,5/31/2018,6/30/2018,7/31/2018,8/31/2018,9/30/2018,10/31/2018,11/30/2018,12/31/2018,1/31/2019,2/28/2019,3/31/2019,4/30/2019,5/31/2019,6/30/2019,7/31/2019,8/31/2019,9/30/2019,10/31/2019,11/30/2019,12/31/2019,1/31/2020,2/29/2020,3/31/2020,4/30/2020,5/31/2020,6/30/2020,7/31/2020,8/31/2020,9/30/2020,10/31/2020
102001,0,United States,Country,,107592,107619,107670,107796,107940,108109,108277,108490,108706,108964,109216,109488,109674,109909,110162,110489,110821,111132,111467,111766,112081,112362,112716,113105,113684,114217,114729,115075,115450,115835,116249,116715,117242,117806,118291,118722,119093,119572,120102,120729,121328,122006,122698,123327,123891,124451,125122,125825,126554,127275,128001,128742,129484,130202,130920,131682,132483,133291,134117,134975,135824,136613,137395,138190,138991,139767,140525,141293,142068,142856,143615,144359,145101,145877,146671,147462,148264,149108,149996,150903,151803,152730,153689,154682,155658,156619,157563,158512,159469,160401,161342,162344,163437,164583,165728,166869,168079,169393,170792,172196,173681,175238,176888,178511,180127,181727,183348,185044,186787,188533,190248,192046,193861,195756,197670,199608,201542,203370,205118,206695,208103,209381,210626,211806,212892,213794,214496,215022,215342,215571,215716,215798,215864,215880,215841,215708,215393,214929,214308,213710,213000,212203,211218,210183,208975,207536,205907,204147,202429,200694,198971,197109,195326,193532,191685,189771,187910,186350,184847,183384,181951,180722,179772,178979,178299,177768,177551,177452,177388,177188,177039,177003,176923,176638,175948,175121,174168,173231,172189,171211,170236,169314,168343,167306,166269,165373,164754,164303,163968,163601,163276,162958,162747,162618,162692,162929,163320,163736,164203,164726,165326,166024,166826,167702,168682,169714,170852,172036,173285,174589,175928,177271,178574,179806,180917,181945,182906,183833,184566,185170,185714,186317,186909,187424,187930,188522,189242,189998,190722,191467,192335,193235,194147,194958,195762,196619,197508,198376,199162,200029,200974,201943,202802,203695,204603,205589,206595,207614,208639,209674,210781,211863,212927,213967,215085,216251,217412,218575,219690,220823,221997,223230,224495,225747,226951,228197,229454,230737,232039,233298,234470,235471,236343,237131,237923,238736,239581,240340,241011,241689,242583,243602,244535,245213,245758,246285,246873,247568,248440,249439,250595,251849,253057,254320,255845,257804,260091,262604
394913,1,"New York, NY",Msa,NY,188871,188430,188149,187613,187294,187002,186824,186731,186776,186900,187025,187172,187448,188061,188780,189454,189954,190579,191204,191829,192347,192858,193582,194409,195313,195917,196389,196810,197347,197929,198503,199306,200308,201535,202628,203780,204737,205918,207173,208784,210538,212384,214467,216303,218109,219711,221560,223474,225535,227779,230198,232604,234912,237226,239591,241982,244385,246770,249205,251591,253965,256450,258893,261452,263945,266489,268879,271290,273761,276553,279352,282152,284990,287688,290279,292893,295633,298631,301743,305434,309351,313281,317035,320952,324842,328842,333038,337033,340905,344507,348175,351550,354614,357524,360607,363786,367376,370955,374694,378241,382194,386338,390891,395426,400190,404987,409843,414400,418781,422942,427124,431943,436817,441638,446123,450792,455664,460677,465351,469992,473945,477726,480357,482590,484333,486266,487600,487986,487546,486159,484624,482847,481250,479917,479656,479073,478621,476922,475261,473559,471814,470666,469362,467908,466467,464599,462099,459442,455799,452667,449316,446549,443589,440234,436673,433241,429371,425514,421868,418421,415792,412917,410396,407724,405931,404802,404336,404104,404023,404087,403616,403403,402962,403377,403643,403766,403154,401940,400369,398472,397082,395793,395036,393615,392062,389872,387992,386309,384880,383570,382107,380881,379511,378164,376886,375953,375409,375218,375045,374955,374922,375026,375536,376265,376983,377871,378787,380233,381814,383438,385176,386914,388792,390822,392790,394519,396419,398090,399936,401210,402428,403451,404355,405286,406120,406870,407326,408107,408905,410065,410802,411779,412581,413688,414619,415493,416407,417359,418819,419962,420736,421362,422204,423520,424585,425627,426734,428045,429411,430881,432314,433948,435903,437564,439374,440655,442890,445151,447912,450356,452608,454555,456262,457931,459983,462450,465030,467602,469713,471615,472780,473915,475143,476661,478155,479256,479821,480150,480588,481211,482096,483035,483894,484236,483753,482947,482289,482471,483191,484139,485177,486507,488000,489895,492468,495908,500412,505569
753899,2,"Los Angeles-Long Beach-Anaheim, CA",Msa,CA,185474,185732,185752,185860,185834,185861,185962,185914,185799,185703,185681,185805,185475,184907,184576,184778,185303,185781,186403,187303,188317,189291,190198,191223,192920,195025,196990,198449,199810,201105,202121,203470,205154,207035,208856,210307,212047,213584,215243,216707,218186,220217,222407,223908,225041,226349,228269,230267,231957,233642,235573,237796,240118,242271,244392,246750,249104,251342,253454,255734,257920,260238,262424,264942,267215,269476,271442,273579,275865,278547,281060,283760,286524,289662,292977,296508,300064,304189,308967,314036,318977,323957,329413,334894,339887,344366,348887,353313,358161,362321,367613,373523,380348,386474,393537,400618,409068,417652,426798,436707,447859,459447,469308,477549,485678,494011,501051,508080,514626,522558,530437,538106,544397,550714,558930,567865,577482,586532,593992,600997,606804,611954,616438,620331,624929,628147,629444,630618,629001,628366,627034,626953,626255,625048,623221,621832,618974,616299,611321,604968,596671,588127,581550,574298,566844,556208,544707,530686,516702,504517,493979,484671,477531,470018,461091,449630,441237,436852,433605,430363,427511,424897,423716,423744,424735,426153,428759,432761,433872,432403,432134,434158,437870,437239,435054,431521,428704,425698,421538,418752,417345,416942,414871,411927,406769,405370,404315,403379,400622,397940,397561,396602,395401,393800,393079,393100,394722,396343,399006,401792,405653,410741,414972,420541,425976,434377,443362,453357,462072,470576,478062,486844,494585,500543,505654,509212,513378,514215,514672,514157,514649,515141,516707,516476,516971,517619,520490,523102,526530,530547,534737,537106,539643,542210,544914,548032,551280,555165,557811,562379,564874,568181,569994,574108,577661,580842,583576,587151,591039,594809,597606,599360,602978,605665,609333,611609,615341,619094,622610,625529,628435,631379,636362,641369,645551,649631,653670,658051,661481,665083,667148,667559,666708,667134,667575,666909,665738,662957,660474,659849,663434,667996,670101,670395,671524,673524,674835,676910,680279,685435,690691,695044,696786,698190,702883,710534,718779,726379
394463,3,"Chicago, IL",Msa,IL,164098,163797,163399,162948,162342,162015,161537,162106,162926,164589,165901,166871,167157,167106,167268,167126,167299,167035,166731,164324,161368,157058,153730,151330,150456,150350,150290,150273,150213,150139,150469,151895,153963,156668,158971,160726,161536,162009,162497,163163,163728,164681,165695,166668,167302,168026,168920,169875,171085,172325,173587,174709,175820,176892,177927,179085,180355,181629,182948,184316,185649,186779,187933,189163,190564,191877,193044,194181,195374,196713,198020,199207,200249,201373,202664,203771,204954,206099,207564,208947,210269,211503,212577,213865,215125,216566,217833,219237,220390,221441,222410,223607,225018,226380,227778,228993,230468,231800,233174,234621,236181,238020,239720,241408,242827,244367,246061,247917,249583,251301,252985,254828,256666,258617,260536,262361,264372,266346,268136,269755,271181,272667,273885,275146,276191,277070,277683,278362,278839,279242,279436,279800,280347,281098,280865,280613,279415,279026,277887,277402,276253,275555,274690,273688,272780,269964,269206,266051,265307,261789,260413,257049,255261,252029,249438,245580,241526,238509,235156,233094,230071,227998,226166,224739,222702,221132,219664,219527,218901,218746,217045,216835,215235,215202,212405,210994,208708,207541,205106,203093,201042,199462,198065,195793,194388,192161,191781,190460,189855,187605,186599,184783,183863,181858,181491,180933,180942,180335,179459,178704,178070,178539,179251,179999,180965,182208,183042,184280,185209,186999,188673,190957,192894,195101,196227,197683,198472,199759,200315,200521,201002,201935,202923,203401,204075,204418,205118,205570,206017,206142,206800,207924,208932,209143,209346,209612,209998,210291,210682,211312,212068,213319,214310,215104,215692,216536,217658,218687,219517,220322,221347,222483,223786,224860,226202,227365,228420,229113,229637,230366,231260,232409,233475,234666,235838,236694,237156,237691,238478,239568,240298,240931,241461,241879,242264,242471,242536,242815,243175,243859,244563,245177,245575,245673,245327,244941,244525,244507,244738,245092,245678,246204,246794,247545,248846,250588,252917,255532
394514,4,"Dallas-Fort Worth, TX",Msa,TX,113386,113451,113613,113937,114286,114538,114718,114941,115166,115507,115840,116175,116234,116328,116356,116525,116620,116817,117050,117305,117605,117948,118235,118595,119054,119509,119876,119986,120213,120465,120857,121211,121579,121501,121500,121412,122008,122792,123793,124758,125575,126424,127184,127711,128056,128750,129593,130406,130723,131056,131305,131551,131732,131906,132098,132398,132853,133316,133725,134118,134360,134186,134003,133905,134090,134110,134183,134399,134624,134777,134819,134967,135179,135607,135974,136474,136934,137643,138352,138960,139451,139894,140408,140953,141202,141219,141000,140916,141001,141253,141505,141739,142045,142472,142907,143233,143974,145347,147352,148963,149860,150205,150521,150995,151447,151945,152363,152874,153634,153878,153876,153680,153906,154336,154766,155188,155553,155498,155642,155624,155880,156360,156810,157269,157663,158096,158363,158439,158559,159205,159615,160055,160049,159982,159954,160098,160334,160513,160672,161043,161570,161904,162034,162048,161379,160346,159055,158184,157457,156933,156614,156138,155336,154363,153452,152769,152634,152964,153401,153488,153439,153203,153125,153019,153170,153327,153904,154219,154264,154031,153800,153929,153827,153781,153069,152347,151395,150697,149805,149320,148980,148420,147803,146877,146329,145673,145502,145506,145738,145814,145712,145385,145211,145654,146211,146836,147224,147739,148338,148870,149344,149775,150418,151143,152033,152664,153487,154369,155441,156516,157674,158819,160137,161454,162771,163950,164874,165883,166729,167585,168391,169364,170084,171123,172040,173295,174483,175792,177328,178799,180484,182120,183830,185516,187293,188837,190298,191663,193190,194883,196462,198051,199586,201311,203179,204956,206934,208632,210385,212032,213870,215755,217422,219161,220663,222383,223992,225663,227108,228608,230344,232219,233942,235395,236803,238478,240323,242059,243523,244954,246190,247349,248117,249013,249936,251232,252499,253336,253785,254156,254860,255439,256053,256584,257429,257640,257833,257740,258147,258784,259781,260955,262153,263579,265256,267187,269202,271831
394974,5,"Philadelphia, PA",Msa,PA,121173,121017,120877,120632,120467,120372,120327,120305,120346,120433,120563,120669,120800,120969,121198,121451,121701,121936,122139,122297,122410,122494,122618,122796,122990,123188,123376,123522,123595,123645,123722,123968,124253,124598,124795,125000,125169,125414,125711,126073,126480,126895,127366,127742,128104,128429,128986,129665,130422,131159,131764,132374,132937,133541,134066,134577,135132,135773,136364,136973,137595,138327,139133,139919,140697,141454,142299,143128,143990,144832,145837,146727,147711,148663,149816,151003,152185,153418,154641,156105,157671,159376,160942,162684,164349,166101,167694,169387,171088,172789,174511,176183,177986,179798,181745,183471,185228,187062,189122,191239,193459,195798,198323,201001,203505,205751,207895,210333,213093,215569,217841,219979,222435,225077,227780,230455,233103,235865,238492,240980,242981,244858,246456,248110,249454,250698,251659,252450,253035,253385,253573,253593,253695,253747,254012,254055,254434,254557,254757,254482,254214,253989,253765,253414,252721,252248,251576,250953,249662,248224,246619,245229,243857,242347,240863,239414,238089,236904,235964,235100,234165,233213,232311,231726,231354,231416,231667,231805,231903,231574,231141,230738,230722,230827,230585,229743,228487,226923,225208,223701,222434,221500,220375,218924,217190,215522,214247,213381,212576,211830,211057,210411,209543,208643,208024,207756,207489,206996,206408,206002,205829,205759,205790,205820,206055,206271,206603,207098,207870,208793,209711,210464,211227,211858,212463,212841,213286,213755,213985,213761,213665,213746,213997,213958,213902,214002,214269,214671,214903,215102,215486,216077,216419,216493,216605,216988,217360,217496,217536,217502,217625,217900,218159,218576,219048,219893,220596,221295,221875,222610,223340,224257,225259,226065,226636,227110,227811,228510,229144,229846,230630,231680,232638,233584,234341,235415,236825,238241,239339,240112,240852,241443,242163,242712,243522,244158,244981,245618,246601,247290,248234,248883,249720,250267,250657,250896,251162,251620,252346,253257,253988,255191,256536,258494,260592,263245,266235,269695
394692,6,"Houston, TX",Msa,TX,110631,110708,110716,110866,111006,111107,111145,111205,111372,111567,111839,112130,112094,111934,111794,111875,111968,112138,112370,112613,112775,112949,113190,113428,114090,114715,115360,115570,115825,116071,116373,116644,116922,117209,117234,117237,117359,117992,118880,119770,120568,121303,122044,122751,123303,123768,124282,124874,125394,125640,125687,125828,125885,126027,126121,126410,126736,126995,127452,127886,128090,128075,127701,127513,127487,127630,127770,127630,127704,127902,128124,128266,128413,128683,129238,129870,130454,130983,131467,132149,132690,133162,133516,133856,134271,134484,134579,134655,134766,135101,135299,135663,135882,136222,136525,136904,137429,138431,139890,141060,142246,142756,143732,144369,145300,146107,146868,147715,148429,149092,149380,149651,149612,149898,149947,150059,149992,149899,150057,150068,150339,150471,150810,151085,151614,152051,152574,153102,153752,154452,155018,155609,156106,156319,156337,156494,156846,157346,157570,158020,158410,158781,159045,159309,159107,158691,158135,157791,157212,156570,156071,155505,154919,154404,153651,152783,152142,152119,152161,152070,152027,152272,152744,153073,153151,152953,153115,153393,153589,153617,153872,154131,154184,153712,152686,151458,150557,150027,149791,149433,148943,148147,147016,146051,145262,144860,144688,144746,144768,144792,144231,143912,143805,144108,144492,144690,145022,145288,145781,146258,146681,146896,147501,148119,148965,149828,151202,152808,154346,155614,156839,158115,159491,161022,162539,163956,165290,166617,167578,168425,169244,170572,172060,173806,175506,177008,178358,179755,181108,182352,183775,185218,186591,187660,188404,189045,189694,190640,191367,192010,192858,193686,194219,194456,195012,195676,196503,196997,197448,197748,198541,199453,199961,200512,201159,201943,202401,202837,203261,203650,204072,204567,205145,205712,206306,206779,207357,208382,209499,210431,211118,212070,212986,213731,214210,214790,215887,216825,217366,217343,217637,218320,219142,219675,219734,220003,220331,220950,221157,221584,222316,223317,224164,224876,225676,226667,228130,229613
395209,7,"Washington, DC",Msa,DC,178262,178039,177908,177634,177515,177363,177200,177092,177114,177249,177308,177376,177159,177034,176855,176952,176904,176979,177127,177250,177192,177100,177168,177249,177645,178015,178501,178680,178869,178978,179090,179276,179573,179776,179937,180221,180740,181508,182246,182980,183651,184432,185227,185937,186754,187673,188824,189864,190899,191807,192717,193619,194680,195822,197183,198668,200211,201886,203555,205488,207352,209198,211122,213255,215478,217646,219716,221846,224025,226250,228659,231088,233594,235966,238437,241018,243801,246693,249694,252865,255948,259022,262003,265098,268112,271419,274730,277940,280810,283674,286484,289378,292487,296229,300241,304159,307942,312215,316744,321612,326721,332536,339181,346102,353214,359461,365461,371476,378255,384600,390867,397636,405268,412876,419752,425996,432346,438733,444187,449026,452924,456721,460252,462457,463747,463974,463935,463324,461065,458458,456508,455273,453953,452418,450906,449735,447975,445184,441936,438605,436238,433135,429273,424182,419477,414468,408775,402343,395127,388789,382723,377469,372096,367239,362690,358412,353436,348873,344658,341232,339019,337652,336894,336016,335010,334505,334667,335558,336829,337176,337901,338695,340015,340045,339526,338636,338321,337698,336278,334901,333947,334193,333796,333319,332041,331586,330927,330695,330087,329625,329659,329573,329419,329380,330339,331500,332753,334097,335846,337448,338719,340366,342390,344873,347495,349587,351412,353227,355772,358150,360497,362998,366120,368853,371164,372640,374170,375641,376832,377797,377871,377911,378052,378220,378341,378278,378356,378476,378215,378695,379453,379899,380143,380423,380905,381194,381310,381827,382253,382996,383587,383349,383317,384078,385925,387291,388309,389084,390315,391272,392351,393711,395645,397990,399329,400124,400055,400774,401714,403345,404692,406200,407708,408567,409222,409760,411210,412859,414963,416709,418147,418723,419006,419329,419632,420817,422368,424211,425577,426483,427571,428564,429054,429741,430580,431988,433324,434503,435581,436644,438080,440133,442240,444715,447972,451650,455719,459656
394856,8,"Miami-Fort Lauderdale, FL",Msa,FL,109913,110044,110182,110430,110646,110955,111267,111530,111640,111752,111912,112114,112024,112011,112017,112352,112648,112878,113088,113315,113566,113743,113916,114132,114898,115530,116077,116090,116221,116066,115988,116045,116657,117392,117958,118319,118379,118496,118628,118979,119382,120247,121028,121715,121804,121924,122218,122621,123158,123785,124583,125422,126101,126698,127282,127865,128618,129372,130294,131292,132322,133392,134587,135848,137293,138715,140341,142054,143946,145921,147746,149409,150956,152480,153873,155347,156811,158432,160089,161901,163589,165285,166982,169155,171350,173689,175989,178365,180574,182550,184389,186250,188378,190649,193193,195432,198051,200545,203226,205702,208618,211839,215301,219002,222827,226905,230956,235468,239792,244562,249422,254378,259604,265149,271533,277786,283955,289504,294557,299139,303913,308042,312648,317707,322415,326116,328250,329811,330805,331069,331750,331618,331442,330510,328938,326051,322705,318776,314935,311003,307011,303521,298886,294282,288118,282207,275530,269527,263455,257906,251838,245321,238532,231570,225121,219290,213982,209008,204013,199397,194946,191389,188349,185942,183769,182352,181105,179683,178746,178054,177880,177238,176542,175212,174030,172608,171330,169503,167924,166592,165157,163838,162510,161638,160705,159903,159109,158581,158187,158170,158289,158419,158657,158672,158964,159323,160181,161421,162648,164144,165720,167382,168708,170153,172029,174534,177228,180283,183094,185592,188187,190869,193734,196404,199735,202880,205826,207783,209766,210967,212596,214028,215933,217391,218700,220214,221052,222231,223142,224872,226193,227788,229038,230508,231577,232914,234551,236073,237950,239523,241398,242946,244503,246106,247739,249750,251759,253492,254829,256136,257691,259338,260880,262251,263374,264804,266174,267485,268659,270357,272077,273949,274841,276009,276759,278340,280158,281722,283467,284757,286384,287402,288257,288697,290201,291607,293008,292736,292877,293177,293688,294528,295287,295784,295891,296351,296934,297445,298110,299741,301051,302382,303555,304793,306059,307858,310191,312574
394347,9,"Atlanta, GA",Msa,GA,120215,120443,120664,121153,121635,122157,122623,123084,123521,123995,124482,125007,125353,125739,126152,126720,127250,127689,128184,128764,129415,130040,130575,131124,132000,132867,133656,134105,134680,135328,136040,136675,137293,137921,138709,139433,140103,140740,141523,142400,143244,144130,145064,145948,146838,147700,148583,149441,150229,151098,152024,153098,154141,155162,156125,157161,158193,159279,160256,161313,162301,163241,164060,164815,165626,166388,167169,167919,168661,169346,170031,170693,171354,172020,172604,173186,173673,174181,174621,175012,175400,175809,176228,176552,176917,177230,177642,177925,178224,178509,178825,179167,179483,179777,180085,180459,180757,181079,181400,181880,182294,182636,182988,183442,183943,184466,184932,185395,185918,186484,187044,187573,188197,188874,189456,190000,190600,191269,192005,192652,193371,193986,194523,194915,195263,195707,196259,196777,197215,197562,197955,198420,198914,199386,199905,200263,200481,200428,200270,199933,199393,198768,198071,197535,196577,195413,193863,192623,191401,190088,188515,186813,185208,183430,181168,178195,175389,172771,170497,167873,165422,163326,161979,160908,159916,158741,157913,157547,157120,156548,155850,155660,155578,155175,153709,151705,149290,147316,145370,143898,142305,141002,139167,137190,134768,132630,131095,130455,130555,130640,130461,129577,129034,128505,128994,129572,130503,131443,132448,132952,132950,133100,133963,135264,136809,138498,140223,141862,143659,145560,147467,149643,152025,154355,156249,158183,159760,161209,162199,163215,164048,164796,165767,166613,167516,168282,169122,169918,170728,171496,172166,172961,174002,175232,176189,177174,178136,179053,179925,180664,181729,182780,184195,185562,186747,187568,188278,189100,189803,190859,192005,193491,194570,195778,196883,198087,199337,200826,202449,203851,205482,206941,208587,210216,212144,213987,215471,216885,218411,220143,221839,223443,224957,226474,227844,228930,229809,230598,231787,233058,234432,235300,236111,236916,237684,238265,238857,239662,240738,241954,243136,244361,245541,247073,248752,250654,252721,255109
