RegionID,SizeRank,RegionName,RegionType,StateName,1/31/1996,2/29/1996,3/31/1996,4/30/1996,5/31/1996,6/30/1996,7/31/1996,8/31/1996,9/30/1996,10/31/1996,11/30/1996,12/31/1996,1/31/1997,2/28/1997,3/31/1997,4/30/1997,5/31/1997,6/30/1997,7/31/1997,8/31/1997,9/30/1997,10/31/1997,11/30/1997,12/31/1997,1/31/1998,2/28/1998,3/31/1998,4/30/1998,5/31/1998,6/30/1998,7/31/1998,8/31/1998,9/30/1998,10/31/1998,11/30/1998,12/31/1998,1/31/1999,2/28/1999,3/31/1999,4/30/1999,5/31/1999,6/30/1999,7/31/1999,8/31/1999,9/30/1999,10/31/1999,11/30/1999,12/31/1999,1/31/2000,2/29/2000,3/31/2000,4/30/2000,5/31/2000,6/30/2000,7/31/2000,8/31/2000,9/30/2000,10/31/2000,11/30/2000,12/31/2000,1/31/2001,2/28/2001,3/31/2001,4/30/2001,5/31/2001,6/30/2001,7/31/2001,8/31/2001,9/30/2001,10/31/2001,11/30/2001,12/31/2001,1/31/2002,2/28/2002,3/31/2002,4/30/2002,5/31/2002,6/30/2002,7/31/2002,8/31/2002,9/30/2002,10/31/2002,11/30/2002,12/31/2002,1/31/2003,2/28/2003,3/31/2003,4/30/2003,5/31/2003,6/30/2003,7/31/2003,8/31/2003,9/30/2003,10/31/2003,11/30/2003,12/31/2003,1/31/2004,2/29/2004,3/31/2004,4/30/2004,5/31/2004,6/30/2004,7/31/2004,8/31/2004,9/30/2004,10/31/2004,11/30/2004,12/31/2004,1/31/2005,2/28/2005,3/31/2005,4/30/2005,5/31/2005,6/30/2005,7/31/2005,8/31/2005,9/30/2005,10/31/2005,11/30/2005,12/31/2005,1/31/2006,2/28/2006,3/31/2006,4/30/2006,5/31/2006,6/30/2006,7/31/2006,8/31/2006,9/30/2006,10/31/2006,11/30/2006,12/31/2006,1/31/2007,2/28/2007,3/31/2007,4/30/2007,5/31/2007,6/30/2007,7/31/2007,8/31/2007,9/30/2007,10/31/2007,11/30/2007,12/31/2007,1/31/2008,2/29/2008,3/31/2008,4/30/2008,5/31/2008,6/30/2008,7/31/2008,8/31/2008,9/30/2008,10/31/2008,11/30/2008,12/31/2008,1/31/2009,2/28/2009,3/31/2009,4/30/2009,5/31/2009,6/30/2009,7/31/2009,8/31/2009,9/30/2009,10/31/2009,11/30/2009,12/31/2009,1/31/2010,2/28/2010,3/31/2010,4/30/2010,5/31/2010,6/30/2010,7/31/2010,8/31/2010,9/30/2010,10/31/2010,11/30/2010,12/31/2010,1/31/2011,2/28/2011,3/31/2011,4/30/2011,5/31/2011,6/30/2011,7/31/2011,8/31/2011,9/30/2011,10/31/2011,11/30/2011,12/31/2011,1/31/2012,2/29/2012,3/31/2012,4/30/2012,5/31/2012,6/30/2012,7/31/2012,8/31/2012,9/30/2012,10/31/2012,11/30/2012,12/31/2012,1/31/2013,2/28/2013,3/31/2013,4/30/2013,5/31/2013,6/30/2013,7/31/2013,8/31/2013,9/30/2013,10/31/2013,11/30/2013,12/31/2013,1/31/2014,2/28/2014,3/31/2014,4/30/2014,5/31/2014,6/30/2014,7/31/2014,8/31/2014,9/30/2014,10/31/2014,11/30/2014,12/31/2014,1/31/2015,2/28/2015,3/31/2015,4/30/2015,5/31/2015,6/30/2015,7/31/2015,8/31/2015,9/30/2015,10/31/2015,11/30/2015,12/31/2015,1/31/2016,2/29/2016,3/31/2016,4/30/2016,5/31/2016,6/30/2016,7/31/2016,8/31/2016,9/30/2016,10/31/2016,11/30/2016,12/31/2016,1/31/2017,2/28/2017,3/31/2017,4/30/2017,5/31/2017,6/30/2017,7/31/2017,8/31/2017,9/30/2017,10/31/2017,11/30/2017,12/31/2017,1/31/2018,2/28/2018,3/31/2018,4/30/2018,5/31/2018,6/30/2018,7/31/2018,8/31/2018,9/30/2018,10/31/2018,11/30/2018,12/31/2018,1/31/2019,2/28/2019,3/31/2019,4/30/2019,5/31/2019,6/30/2019,7/31/2019,8/31/2019,9/30/2019,10/31/2019,11/30/2019,12/31/2019,1/31/2020,2/29/2020,3/31/2020,4/30/2020,5/31/2020,6/30/2020,7/31/2020
102001,0,United States,Country,,106847,106874,106924,107049,107192,107360,107527,107738,107953,108209,108459,108730,108915,109147,109398,109724,110053,110362,110695,110991,111304,111583,111935,112322,112896,113426,113935,114278,114650,115032,115443,115907,116430,116990,117472,117900,118268,118743,119270,119892,120487,121161,121848,122472,123033,123589,124255,124953,125677,126393,127114,127850,128587,129300,130013,130770,131565,132367,133188,134040,134883,135667,136444,137232,138028,138798,139551,140314,141084,141867,142620,143359,144096,144867,145655,146440,147237,148075,148957,149857,150751,151672,152625,153610,154580,155534,156472,157414,158364,159290,160225,161220,162305,163443,164580,165713,166915,168220,169609,171003,172478,174024,175663,177274,178879,180468,182078,183762,185493,187227,188930,190716,192518,194400,196300,198225,200146,201961,203697,205263,206661,207931,209167,210338,211417,212313,213010,213532,213850,214078,214222,214303,214369,214385,214346,214214,213901,213440,212824,212230,211524,210733,209755,208727,207528,206098,204480,202732,201026,199303,197592,195744,193973,192191,190357,188456,186608,185059,183567,182114,180690,179470,178526,177740,177064,176537,176321,176223,176159,175961,175813,175777,175698,175415,174729,173908,172961,172031,170996,170025,169057,168141,167177,166147,165118,164228,163613,163165,162833,162468,162144,161829,161620,161491,161565,161800,162188,162601,163065,163584,164181,164873,165670,166541,167514,168539,169668,170844,172084,173379,174710,176043,177337,178560,179663,180684,181639,182559,183288,183887,184427,185026,185614,186126,186628,187216,187931,188681,189400,190140,191002,191896,192801,193607,194406,195257,196141,197003,197784,198644,199582,200543,201394,202281,203183,204162,205163,206177,207197,208226,209326,210400,211455,212483,213589,214744,215896,217052,218164,219296,220473,221712,222986,224243,225445,226681,227914,229159,230410,231605,232701,233680,234592,235500,236384,237257,238111,238861,239495,240100,240884,241757,242509,243134,243766,244560,245348,246171,247060,248046,249140,250271,251295,252312,253527
394913,1,"New York, NY",Msa,NY,189236,188794,188513,187976,187656,187364,187185,187092,187137,187261,187387,187534,187811,188424,189145,189820,190321,190947,191574,192200,192719,193231,193956,194785,195691,196296,196768,197190,197729,198311,198887,199691,200695,201925,203019,204174,205133,206316,207573,209187,210945,212795,214881,216722,218530,220136,221988,223906,225971,228219,230643,233054,235366,237685,240054,242449,244857,247247,249687,252077,254456,256946,259394,261957,264455,267005,269398,271815,274290,277088,279892,282698,285541,288244,290840,293459,296204,299208,302327,306024,309949,313886,317648,321572,325470,329478,333681,337685,341564,345173,348848,352230,355300,358215,361304,364489,368086,371672,375418,378972,382932,387085,391647,396191,400964,405770,410635,415201,419591,423759,427950,432778,437661,442492,446986,451663,456545,461567,466250,470900,474861,478650,481286,483522,485269,487205,488543,488930,488488,487098,485560,483780,482180,480845,480583,479999,479546,477844,476180,474475,472725,471575,470269,468812,467369,465497,462992,460330,456680,453542,450184,447413,444446,441084,437517,434078,430201,426336,422683,419230,416596,413715,411189,408512,406716,405584,405117,404885,404804,404868,404396,404183,403741,404157,404423,404547,403933,402717,401143,399242,397849,396558,395800,394375,392820,390625,388741,387055,385624,384311,382846,381618,380244,378895,377615,376679,376135,375943,375769,375680,375647,375750,376262,376992,377712,378602,379520,380968,382552,384179,385920,387662,389543,391577,393549,395282,397185,398859,400709,401985,403206,404231,405137,406070,406906,407657,408113,408895,409693,410855,411593,412572,413376,414487,415421,416299,417216,418170,419633,420776,421548,422172,423012,424328,425394,426441,427555,428874,430250,431727,433166,434800,436749,438397,440193,441459,443688,445951,448724,451207,453516,455543,457312,459027,461102,463567,466107,468596,470581,472320,473283,474311,475697,477575,479417,480692,481316,481649,482005,482437,483026,483566,483926,483960,483770,483710,483782,484296,485111,486070,486979,488002,489013,490251,491993
753899,2,"Los Angeles-Long Beach-Anaheim, CA",Msa,CA,184004,184261,184280,184388,184362,184389,184489,184441,184328,184232,184210,184334,184006,183443,183113,183315,183835,184310,184926,185819,186825,187791,188692,189708,191391,193480,195430,196877,198228,199512,200520,201859,203529,205395,207202,208641,210367,211892,213539,214990,216458,218472,220645,222135,223258,224556,226461,228443,230120,231791,233707,235913,238216,240352,242456,244795,247131,249351,251446,253708,255877,258177,260346,262843,265098,267342,269292,271412,273680,276341,278834,281512,284255,287367,290657,294159,297687,301779,306519,311548,316451,321391,326804,332241,337195,341639,346124,350514,355324,359451,364701,370565,377335,383412,390420,397444,405828,414344,423417,433248,444312,455807,465591,473766,481831,490098,497082,504056,510550,518419,526235,533844,540085,546351,554503,563367,572907,581886,589286,596236,601997,607107,611555,615418,619979,623172,624458,625623,624018,623389,622067,621987,621294,620097,618284,616907,614071,611417,606479,600176,591945,583469,576944,569748,562354,551803,540392,526483,512609,500520,490066,480831,473749,466295,457439,446069,437742,433391,430170,426954,424125,421532,420360,420388,421371,422777,425362,429333,430435,428978,428711,430719,434402,433776,431608,428103,425309,422326,418199,415435,414039,413639,411585,408664,403547,402159,401112,400183,397449,394788,394411,393461,392269,390681,389966,389986,391595,393204,395845,398609,402440,407487,411685,417210,422602,430936,439850,449766,458412,466849,474276,482988,490667,496579,501649,505179,509311,510142,510596,510085,510573,511062,512615,512385,512877,513519,516367,518957,522357,526343,530500,532851,535368,537915,540599,543693,546917,550771,553395,557926,560399,563678,565474,569553,573078,576235,578950,582500,586361,590104,592879,594615,598197,600850,604473,606715,610403,614118,617603,620581,623547,626524,631448,636405,640576,644634,648625,652924,656250,659722,661645,661995,661066,661695,662320,661938,660836,658111,655623,654902,658288,662577,664361,664460,665317,667726,669443,672128,675561,680734,685911,690062,691495,692475,696601
394463,3,"Chicago, IL",Msa,IL,162168,161870,161478,161031,160433,160109,159637,160199,161009,162653,163950,164909,165191,165141,165301,165161,165331,165070,164770,162391,159470,155211,151921,149550,148686,148581,148522,148505,148446,148373,148699,150109,152153,154825,157101,158835,159636,160104,160586,161244,161803,162744,163746,164708,165335,166050,166933,167877,169072,170298,171545,172654,173752,174811,175834,176979,178233,179493,180796,182149,183465,184582,185722,186938,188323,189620,190773,191897,193076,194400,195691,196864,197894,199005,200280,201374,202543,203675,205122,206490,207796,209015,210076,211349,212595,214019,215270,216659,217797,218836,219794,220977,222371,223717,225099,226300,227757,229074,230431,231861,233403,235220,236900,238568,239971,241492,243167,245001,246647,248345,250009,251830,253647,255575,257472,259275,261262,263214,264983,266582,267991,269460,270664,271910,272943,273811,274417,275087,275559,275958,276149,276509,277050,277791,277562,277312,276128,275744,274619,274139,273004,272314,271459,270469,269572,266789,266040,262922,262187,258710,257350,254026,252259,249065,246504,242692,238685,235704,232390,230353,227365,225316,223506,222096,220083,218531,217080,216945,216326,216173,214492,214285,212704,212671,209907,208512,206253,205099,202694,200704,198677,197116,195735,193490,192102,189900,189525,188220,187622,185398,184405,182609,181700,179719,179356,178805,178813,178214,177348,176602,175976,176439,177142,177882,178836,180065,180889,182113,183030,184800,186454,188711,190626,192806,193919,195358,196137,197409,197959,198162,198638,199560,200536,201009,201675,202014,202705,203152,203593,203716,204366,205477,206474,206683,206884,207148,207530,207820,208206,208828,209574,210808,211786,212569,213149,213984,215096,216115,216940,217738,218753,219875,221159,222214,223531,224673,225711,226396,226919,227653,228546,229713,230797,232013,233185,234030,234466,234949,235659,236648,237261,237810,238418,239015,239592,239882,239984,240268,240585,241164,241705,242100,242226,242120,241951,241952,241953,242088,242376,242743,243262,243627,243957,244353,245198
394514,4,"Dallas-Fort Worth, TX",Msa,TX,111129,111192,111351,111669,112011,112257,112433,112653,112873,113207,113534,113862,113920,114012,114039,114205,114298,114491,114719,114970,115263,115599,115881,116234,116683,117129,117489,117597,117819,118066,118451,118798,119158,119082,119081,118994,119579,120347,121328,122274,123075,123907,124651,125169,125506,126187,127013,127810,128120,128446,128690,128931,129109,129280,129467,129762,130208,130661,131062,131447,131685,131514,131335,131239,131420,131439,131511,131723,131943,132094,132135,132280,132487,132907,133266,133756,134208,134903,135597,136193,136674,137109,137612,138146,138390,138407,138193,138110,138194,138441,138688,138917,139217,139635,140062,140381,141107,142453,144418,145997,146877,147214,147524,147988,148432,148920,149329,149830,150575,150814,150812,150620,150842,151263,151684,152099,152456,152402,152543,152525,152776,153247,153688,154137,154524,154948,155210,155284,155402,156035,156437,156868,156862,156797,156769,156911,157142,157317,157473,157837,158353,158681,158808,158821,158166,157153,155888,155035,154322,153808,153495,153029,152243,151290,150397,149727,149595,149918,150347,150432,150384,150152,150076,149972,150120,150274,150840,151148,151193,150964,150738,150864,150764,150719,150022,149314,148381,147696,146822,146347,146014,145464,144860,143952,143416,142772,142605,142609,142836,142911,142811,142490,142320,142754,143300,143912,144293,144797,145385,145905,146370,146793,147423,148134,149005,149624,150431,151295,152346,153399,154535,155657,156948,158240,159530,160686,161591,162580,163409,164248,165038,165992,166697,167716,168614,169844,171009,172292,173797,175239,176890,178493,180169,181821,183564,185077,186509,187848,189345,191004,192552,194108,195611,197300,199130,200871,202811,204477,206198,207816,209621,211470,213106,214809,216279,217961,219537,221175,222595,224022,225683,227536,229292,230784,232177,233823,235623,237300,238693,240039,241181,242269,242972,243961,244981,246405,247677,248512,248937,249247,249844,250277,250707,251138,251864,252304,252705,252916,253362,254012,254968,256034,257055,258232,259586
394974,5,"Philadelphia, PA",Msa,PA,121091,120936,120796,120551,120386,120291,120246,120224,120266,120352,120482,120588,120719,120887,121116,121369,121619,121854,122057,122215,122327,122411,122536,122713,122907,123105,123293,123439,123512,123562,123639,123884,124170,124514,124711,124915,125085,125330,125627,125989,126395,126810,127280,127656,128018,128342,128900,129578,130335,131071,131675,132285,132848,133451,133976,134487,135041,135682,136272,136881,137502,138234,139039,139825,140602,141359,142203,143032,143893,144735,145739,146628,147611,148563,149715,150901,152083,153315,154537,156000,157565,159269,160834,162574,164238,165989,167581,169273,170973,172672,174393,176065,177866,179677,181623,183347,185104,186936,188995,191111,193329,195667,198189,200866,203368,205613,207755,210191,212949,215424,217694,219831,222285,224926,227627,230300,232946,235706,238332,240818,242817,244693,246290,247943,249286,250529,251490,252280,252865,253215,253402,253423,253524,253576,253841,253884,254263,254386,254586,254311,254043,253818,253594,253243,252551,252079,251407,250784,249494,248057,246453,245064,243693,242184,240700,239253,237928,236745,235805,234942,234007,233056,232155,231571,231198,231260,231511,231649,231747,231418,230985,230582,230567,230672,230430,229588,228334,226771,225056,223550,222285,221351,220226,218777,217044,215377,214103,213237,212433,211687,210915,210270,209402,208503,207884,207616,207349,206857,206270,205863,205691,205620,205652,205681,205916,206132,206465,206958,207730,208653,209570,210322,211085,211716,212320,212697,213142,213611,213841,213618,213521,213603,213854,213815,213758,213858,214125,214526,214757,214957,215340,215930,216273,216347,216459,216843,217216,217352,217391,217357,217478,217751,218008,218424,218895,219740,220445,221146,221729,222466,223197,224112,225109,225908,226469,226935,227629,228324,228959,229669,230470,231558,232553,233533,234299,235371,236761,238135,239171,239865,240506,241081,241832,242538,243465,244217,245075,245723,246675,247280,248089,248551,249152,249642,250084,250647,251143,251827,252614,253547,254232,255300,256421,258068,259764
394692,6,"Houston, TX",Msa,TX,109198,109273,109281,109429,109567,109666,109704,109764,109929,110121,110389,110677,110641,110484,110345,110424,110516,110684,110913,111153,111313,111485,111723,111958,112611,113228,113865,114072,114324,114567,114864,115132,115407,115690,115714,115717,115837,116463,117340,118218,119005,119730,120462,121160,121705,122163,122671,123256,123769,124011,124058,124197,124254,124393,124486,124771,125094,125349,125800,126228,126430,126415,126046,125860,125835,125976,126114,125976,126048,126244,126463,126604,126749,127015,127563,128187,128763,129286,129763,130436,130970,131436,131786,132121,132531,132741,132835,132910,133019,133350,133545,133905,134121,134456,134755,135129,135648,136637,138077,139231,140403,140906,141869,142498,143417,144213,144965,145800,146505,147159,147444,147711,147673,147956,148003,148114,148048,147956,148112,148123,148391,148520,148855,149127,149649,150080,150596,151117,151760,152451,153009,153592,154082,154293,154310,154466,154813,155307,155527,155972,156356,156723,156984,157244,157045,156634,156085,155746,155174,154541,154049,153489,152911,152403,151659,150803,150170,150147,150189,150099,150056,150298,150765,151089,151166,150970,151131,151405,151598,151626,151877,152134,152186,151719,150707,149495,148606,148082,147850,147496,147012,146227,145111,144158,143379,142983,142813,142869,142892,142915,142362,142046,141941,142240,142619,142815,143143,143405,143891,144363,144780,144992,145589,146199,147035,147886,149242,150828,152345,153597,154807,156065,157424,158935,160432,161831,163147,164457,165406,166242,167051,168362,169830,171553,173231,174714,176046,177425,178760,179989,181393,182818,184173,185228,185963,186595,187236,188170,188887,189521,190358,191175,191700,191934,192484,193140,193958,194446,194893,195191,195975,196876,197378,197922,198563,199341,199800,200241,200672,201046,201466,201929,202499,203043,203639,204109,204674,205669,206745,207630,208263,209167,210176,211004,211575,212124,213212,214126,214628,214548,214755,215323,216003,216441,216730,217226,217777,218339,218543,218940,219604,220492,221186,221706,222271
395209,7,"Washington, DC",Msa,DC,178086,177863,177732,177458,177340,177188,177024,176917,176939,177074,177133,177201,176984,176859,176680,176777,176729,176804,176952,177075,177017,176925,176993,177073,177469,177839,178324,178503,178692,178801,178913,179099,179395,179598,179759,180042,180561,181329,182065,182799,183469,184250,185044,185753,186569,187487,188638,189676,190711,191617,192527,193428,194488,195629,196988,198472,200013,201686,203353,205284,207147,208991,210913,213044,215265,217431,219499,221626,223804,226026,228433,230860,233363,235733,238201,240780,243560,246449,249448,252615,255695,258765,261744,264836,267847,271151,274458,277665,280532,283394,286200,289092,292197,295936,299944,303858,307637,311906,316431,321294,326398,332208,338846,345760,352864,359106,365100,371109,377881,384220,390480,397243,404867,412467,419337,425575,431918,438299,443748,448582,452476,456270,459797,462000,463288,463515,463477,462866,460609,458005,456056,454822,453504,451970,450460,449290,447532,444744,441499,438171,435806,432707,428849,423763,419062,414058,408371,401945,394736,388404,382344,377096,371728,366876,362331,358057,353087,348528,344317,340895,338684,337318,336561,335684,334679,334175,334336,335226,336496,336843,337567,338360,339679,339709,339190,338301,337986,337364,335946,334570,333617,333863,333465,332990,331713,331259,330600,330368,329761,329299,329333,329247,329094,329054,330012,331172,332424,333767,335514,337114,338384,340029,342051,344532,347152,349241,351065,352878,355420,357796,360141,362639,365758,368488,370797,372271,373800,375269,376459,377423,377497,377537,377678,377846,377967,377904,377982,378102,377841,378321,379079,379524,379767,380047,380528,380817,380933,381449,381875,382618,383209,382971,382939,383699,385543,386907,387925,388699,389931,390888,391969,393332,395269,397615,398958,399757,399694,400419,401367,402968,404280,405747,407257,408129,408806,409364,410824,412473,414566,416294,417707,418215,418491,418832,419209,420427,422008,423877,425251,426145,427201,428141,428561,429105,429942,431409,432904,434143,435266,436368,437818,439848,441897,444282,447416
394856,8,"Miami-Fort Lauderdale, FL",Msa,FL,111131,111263,111403,111654,111872,112185,112500,112765,112877,112990,113152,113356,113266,113252,113258,113597,113896,114129,114341,114571,114824,115003,115178,115397,116171,116810,117363,117376,117508,117352,117273,117331,117949,118693,119265,119630,119690,119809,119943,120297,120705,121579,122369,123064,123153,123275,123572,123979,124523,125157,125963,126812,127498,128102,128693,129282,130043,130806,131737,132746,133788,134870,136078,137353,138814,140252,141896,143628,145541,147538,149383,151064,152628,154169,155578,157068,158549,160188,161863,163695,165401,167116,168832,171029,173248,175613,177938,180341,182575,184572,186431,188314,190465,192761,195333,197597,200245,202767,205478,207981,210929,214186,217687,221428,225296,229419,233515,238077,242448,247272,252185,257197,262480,268087,274542,280863,287101,292712,297820,302453,307280,311455,316112,321227,325987,329729,331887,333466,334471,334737,335426,335292,335115,334172,332582,329664,326280,322308,318424,314448,310413,306884,302198,297542,291310,285334,278583,272513,266374,260763,254629,248039,241175,234136,227616,221720,216353,211323,206274,201607,197106,193509,190435,188002,185805,184372,183112,181674,180727,180027,179851,179201,178498,177153,175958,174520,173229,171381,169785,168438,166987,165653,164311,163428,162486,161675,160872,160338,159940,159922,160043,160175,160415,160430,160725,161088,161956,163210,164450,165963,167556,169236,170577,172038,173935,176468,179192,182281,185123,187648,190272,192983,195880,198580,201948,205127,208106,210085,212091,213304,214952,216399,218326,219800,221123,222654,223500,224692,225613,227363,228699,230312,231576,233063,234144,235496,237151,238689,240587,242176,244070,245635,247209,248830,250483,252518,254551,256306,257658,258980,260551,262213,263767,265150,266282,267730,269120,270455,271654,273423,275165,277060,277921,279104,279859,281443,283253,284795,286508,287749,289318,290476,291498,292114,293623,295025,296425,296107,296176,296373,296752,297431,297996,298744,299211,300055,300633,301087,301731,303311,304514,305679,306630,307591,308522
394347,9,"Atlanta, GA",Msa,GA,120812,121042,121264,121755,122239,122764,123232,123696,124135,124611,125101,125628,125976,126364,126779,127350,127883,128324,128821,129404,130059,130687,131224,131776,132656,133527,134320,134772,135349,136001,136716,137354,137975,138606,139399,140126,140799,141439,142226,143108,143956,144847,145785,146673,147568,148434,149322,150184,150975,151849,152780,153859,154907,155933,156901,157943,158980,160071,161053,162115,163107,164052,164876,165635,166450,167215,168000,168754,169499,170188,170876,171542,172206,172875,173462,174047,174537,175047,175489,175882,176272,176683,177104,177430,177796,178111,178525,178809,179110,179396,179714,180057,180375,180671,180980,181356,181655,181979,182302,182784,183200,183544,183897,184353,184857,185383,185852,186316,186842,187411,187974,188506,189132,189813,190398,190944,191547,192220,192959,193609,194332,194951,195490,195884,196233,196680,197234,197755,198196,198544,198938,199406,199903,200377,200898,201258,201478,201425,201266,200926,200384,199756,199056,198517,197554,196384,194827,193581,192353,191033,189452,187742,186128,184342,182068,179081,176261,173630,171344,168707,166244,164138,162784,161708,160711,159530,158698,158330,157901,157326,156625,156434,156352,155946,154473,152459,150032,148048,146093,144613,143012,141703,139859,137871,135438,133289,131747,131103,131204,131290,131110,130221,129675,129144,129636,130216,131152,132096,133107,133613,133611,133762,134629,135936,137489,139186,140920,142567,144373,146284,148200,150387,152780,155123,157026,158970,160554,162010,163005,164026,164863,165616,166591,167441,168349,169119,169962,170762,171576,172348,173021,173820,174866,176102,177064,178055,179022,179944,180821,181562,182632,183688,185109,186482,187672,188498,189213,190040,190748,191811,192965,194458,195542,196753,197860,199067,200320,201816,203449,204839,206476,207960,209655,211320,213263,215115,216596,217995,219496,221195,222849,224431,225961,227572,229035,230198,231099,231895,233069,234300,235607,236377,237063,237814,238606,239378,240137,241085,242195,243423,244579,245732,246792,248158,249624
